# Light Pollution Monitoring Data Format 1.0
# URL: http://www.darksky.org/measurements
# Number of header lines: 38
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: SQM-LU-DL-R1
# Instrument ID: USBAK06E436
# Data supplier: Derek OKeeffe C.A.C
# Location name: Ireland, Cloughleafin, Mitchelstown, Cork
# Position (lat, lon, elev(m)): 52.2533, -8.3605, 80
# Local timezone: Europe/Dublin
# Time Synchronization: 
# Moving / Stationary position: stationary
# Moving / Fixed look direction: fixed
# Number of channels: 1
# Filters per channel: HOYA CM-500
# Measurement direction per channel: 0,0
# Field of view (degrees): 20
# Number of fields per line: 5
# SQM serial number: 4475
# SQM hardware identity: AK06E436
# SQM firmware version: 4-6-61
# SQM cover offset value: -0.11
# SQM readout test ix: i,00000004,00000006,00000061,00004475
# SQM readout test rx: r, 09.36m,0000017231Hz,0000000000c,0000000.000s, 022.2C
# SQM readout test cx: c,00000019.94m,0000241.628s, 019.3C,00000008.71m, 019.9C
# DL time difference (seconds): -8
# DL retrieved at (UTC): 2019-06-01T12:59:57.028
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# UDM version: 1.0.0.205
# UDM setting: DL Retrieve All
# blank line
# UTC Date & Time, Local Date & Time, Temperature, Voltage, MSAS, Record type
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;Volts;mag/arcsec^2;Init/Subs
# END OF HEADER
2019-05-26T21:00:05.000;2019-05-26T22:00:05.000;9.9;5.00;10.01;1
2019-05-26T21:05:05.000;2019-05-26T22:05:05.000;9.9;5.00;10.74;1
2019-05-26T21:10:05.000;2019-05-26T22:10:05.000;9.6;5.00;11.39;1
2019-05-26T21:15:05.000;2019-05-26T22:15:05.000;9.6;5.00;12.07;1
2019-05-26T21:20:05.000;2019-05-26T22:20:05.000;9.3;5.00;12.76;1
2019-05-26T21:25:05.000;2019-05-26T22:25:05.000;9.3;5.00;13.46;1
2019-05-26T21:30:05.000;2019-05-26T22:30:05.000;9.0;5.00;14.14;1
2019-05-26T21:35:05.000;2019-05-26T22:35:05.000;9.0;5.00;14.82;1
2019-05-26T21:40:05.000;2019-05-26T22:40:05.000;8.7;5.00;15.52;1
2019-05-26T21:45:05.000;2019-05-26T22:45:05.000;8.3;5.00;16.01;1
2019-05-26T21:50:05.000;2019-05-26T22:50:05.000;8.3;5.00;16.61;1
2019-05-26T21:55:05.000;2019-05-26T22:55:05.000;8.0;5.00;17.01;1
2019-05-26T22:00:05.000;2019-05-26T23:00:05.000;7.7;5.00;17.43;1
2019-05-26T22:05:05.000;2019-05-26T23:05:05.000;7.7;5.00;17.71;1
2019-05-26T22:10:05.000;2019-05-26T23:10:05.000;7.4;5.00;18.15;1
2019-05-26T22:15:05.000;2019-05-26T23:15:05.000;7.4;5.00;18.36;1
2019-05-26T22:20:05.000;2019-05-26T23:20:05.000;7.7;5.00;18.71;1
2019-05-26T22:25:05.000;2019-05-26T23:25:05.000;7.7;5.00;19.06;1
2019-05-26T22:30:05.000;2019-05-26T23:30:05.000;8.0;5.00;19.30;1
2019-05-26T22:35:05.000;2019-05-26T23:35:05.000;8.3;5.00;19.53;1
2019-05-26T22:40:05.000;2019-05-26T23:40:05.000;8.3;5.00;19.63;1
2019-05-26T22:45:05.000;2019-05-26T23:45:05.000;8.7;5.00;19.80;1
2019-05-26T22:50:05.000;2019-05-26T23:50:05.000;8.7;5.00;19.90;1
2019-05-26T22:55:05.000;2019-05-26T23:55:05.000;9.0;5.00;19.99;1
2019-05-26T23:00:05.000;2019-05-27T00:00:05.000;9.0;5.00;20.05;1
2019-05-26T23:05:05.000;2019-05-27T00:05:05.000;9.0;5.00;20.13;1
2019-05-26T23:10:05.000;2019-05-27T00:10:05.000;9.3;5.00;20.22;1
2019-05-26T23:15:05.000;2019-05-27T00:15:05.000;9.3;5.00;20.28;1
2019-05-26T23:20:05.000;2019-05-27T00:20:05.000;9.3;5.00;20.33;1
2019-05-26T23:25:05.000;2019-05-27T00:25:05.000;9.3;5.00;20.42;1
2019-05-26T23:30:06.000;2019-05-27T00:30:06.000;9.3;5.00;20.64;1
2019-05-26T23:35:05.000;2019-05-27T00:35:05.000;9.3;5.00;20.43;1
2019-05-26T23:40:05.000;2019-05-27T00:40:05.000;9.3;5.00;20.49;1
2019-05-26T23:45:05.000;2019-05-27T00:45:05.000;9.3;5.00;20.28;1
2019-05-26T23:50:05.000;2019-05-27T00:50:05.000;9.3;5.00;20.43;1
2019-05-26T23:55:05.000;2019-05-27T00:55:05.000;9.3;5.00;20.35;1
2019-05-27T00:00:05.000;2019-05-27T01:00:05.000;9.6;5.00;20.35;1
2019-05-27T00:05:05.000;2019-05-27T01:05:05.000;9.6;5.00;20.36;1
2019-05-27T00:10:05.000;2019-05-27T01:10:05.000;9.6;5.00;20.28;1
2019-05-27T00:15:05.000;2019-05-27T01:15:05.000;9.6;5.00;20.29;1
2019-05-27T00:20:05.000;2019-05-27T01:20:05.000;9.6;5.00;20.25;1
2019-05-27T00:25:05.000;2019-05-27T01:25:05.000;9.9;5.00;20.36;1
2019-05-27T00:30:05.000;2019-05-27T01:30:05.000;9.9;5.00;20.23;1
2019-05-27T00:35:05.000;2019-05-27T01:35:05.000;9.9;5.00;20.21;1
2019-05-27T00:40:05.000;2019-05-27T01:40:05.000;9.9;5.00;20.16;1
2019-05-27T00:45:05.000;2019-05-27T01:45:05.000;9.9;5.00;20.25;1
2019-05-27T00:50:05.000;2019-05-27T01:50:05.000;9.9;5.00;20.30;1
2019-05-27T00:55:05.000;2019-05-27T01:55:05.000;9.9;5.00;20.42;1
2019-05-27T01:00:05.000;2019-05-27T02:00:05.000;9.9;5.00;20.29;1
2019-05-27T01:05:05.000;2019-05-27T02:05:05.000;9.9;5.00;20.18;1
2019-05-27T01:10:05.000;2019-05-27T02:10:05.000;9.9;5.00;20.26;1
2019-05-27T01:15:05.000;2019-05-27T02:15:05.000;9.9;5.00;20.25;1
2019-05-27T01:20:05.000;2019-05-27T02:20:05.000;9.9;5.00;20.01;1
2019-05-27T01:25:05.000;2019-05-27T02:25:05.000;9.9;5.00;20.21;1
2019-05-27T01:30:05.000;2019-05-27T02:30:05.000;9.9;5.00;20.25;1
2019-05-27T01:35:05.000;2019-05-27T02:35:05.000;9.9;5.00;20.34;1
2019-05-27T01:40:05.000;2019-05-27T02:40:05.000;9.9;5.00;20.28;1
2019-05-27T01:45:05.000;2019-05-27T02:45:05.000;9.9;5.00;20.39;1
2019-05-27T01:50:05.000;2019-05-27T02:50:05.000;9.9;5.00;20.15;1
2019-05-27T01:55:05.000;2019-05-27T02:55:05.000;9.9;5.00;20.12;1
2019-05-27T02:00:05.000;2019-05-27T03:00:05.000;9.9;5.00;20.03;1
2019-05-27T02:05:05.000;2019-05-27T03:05:05.000;9.6;5.00;20.08;1
2019-05-27T02:10:05.000;2019-05-27T03:10:05.000;9.6;5.00;20.02;1
2019-05-27T02:15:05.000;2019-05-27T03:15:05.000;9.6;5.00;19.90;1
2019-05-27T02:20:05.000;2019-05-27T03:20:05.000;9.6;5.00;19.82;1
2019-05-27T02:25:05.000;2019-05-27T03:25:05.000;9.3;5.00;19.58;1
2019-05-27T02:30:05.000;2019-05-27T03:30:05.000;9.3;5.00;19.43;1
2019-05-27T02:35:05.000;2019-05-27T03:35:05.000;9.3;5.00;19.18;1
2019-05-27T02:40:05.000;2019-05-27T03:40:05.000;9.0;5.00;18.91;1
