# Light Pollution Monitoring Data Format 1.0
# URL: http://www.darksky.org/measurements
# Number of header lines: 38
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: SQM-LU-DL-R1
# Instrument ID: USBAK06E436
# Data supplier: Derek OKeeffe C.A.C
# Location name: Ireland, Cloughleafin, Mitchelstown, Cork
# Position (lat, lon, elev(m)): 52.2533, -8.3605, 80
# Local timezone: Europe/Dublin
# Time Synchronization: 
# Moving / Stationary position: stationary
# Moving / Fixed look direction: fixed
# Number of channels: 1
# Filters per channel: HOYA CM-500
# Measurement direction per channel: 0,0
# Field of view (degrees): 20
# Number of fields per line: 5
# SQM serial number: 4475
# SQM hardware identity: AK06E436
# SQM firmware version: 4-6-61
# SQM cover offset value: -0.11
# SQM readout test ix: i,00000004,00000006,00000061,00004475
# SQM readout test rx: r, 07.60m,0000087186Hz,0000000000c,0000000.000s, 022.5C
# SQM readout test cx: c,00000019.94m,0000241.628s, 019.3C,00000008.71m, 019.9C
# DL time difference (seconds): -7
# DL retrieved at (UTC): 2019-04-28T18:37:03.124
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# UDM version: 1.0.0.205
# UDM setting: DL Retrieve All
# blank line
# UTC Date & Time, Local Date & Time, Temperature, Voltage, MSAS, Record type
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;Volts;mag/arcsec^2;Init/Subs
# END OF HEADER
2019-04-24T20:10:05.000;2019-04-24T21:10:05.000;7.4;5.00;10.70;1
2019-04-24T20:15:05.000;2019-04-24T21:15:05.000;7.0;5.00;11.47;1
2019-04-24T20:20:05.000;2019-04-24T21:20:05.000;7.0;5.00;12.32;1
2019-04-24T20:25:05.000;2019-04-24T21:25:05.000;6.7;5.00;13.05;1
2019-04-24T20:30:05.000;2019-04-24T21:30:05.000;6.4;5.00;14.10;1
2019-04-24T20:35:05.000;2019-04-24T21:35:05.000;6.4;5.00;14.90;1
2019-04-24T20:40:05.000;2019-04-24T21:40:05.000;6.1;5.00;15.52;1
2019-04-24T20:45:05.000;2019-04-24T21:45:05.000;6.1;5.00;16.31;1
2019-04-24T20:50:05.000;2019-04-24T21:50:05.000;6.1;5.00;17.23;1
2019-04-24T20:55:05.000;2019-04-24T21:55:05.000;6.1;5.00;18.16;1
2019-04-24T21:00:05.000;2019-04-24T22:00:05.000;6.4;5.00;18.58;1
2019-04-24T21:05:05.000;2019-04-24T22:05:05.000;6.7;5.00;18.86;1
2019-04-24T21:10:05.000;2019-04-24T22:10:05.000;6.7;5.00;19.36;1
2019-04-24T21:15:05.000;2019-04-24T22:15:05.000;7.0;5.00;19.38;1
2019-04-24T21:20:05.000;2019-04-24T22:20:05.000;7.0;5.00;19.59;1
2019-04-24T21:25:05.000;2019-04-24T22:25:05.000;7.0;5.00;19.63;1
2019-04-24T21:30:05.000;2019-04-24T22:30:05.000;7.4;5.00;19.91;1
2019-04-24T21:35:05.000;2019-04-24T22:35:05.000;7.4;5.00;20.45;1
2019-04-24T21:40:05.000;2019-04-24T22:40:05.000;7.4;5.00;20.51;1
2019-04-24T21:45:05.000;2019-04-24T22:45:05.000;7.4;5.00;20.61;1
2019-04-24T21:50:06.000;2019-04-24T22:50:06.000;7.4;5.00;20.95;1
2019-04-24T21:55:06.000;2019-04-24T22:55:06.000;7.4;5.00;21.06;1
2019-04-24T22:00:05.000;2019-04-24T23:00:05.000;7.0;5.00;20.89;1
2019-04-24T22:05:06.000;2019-04-24T23:05:06.000;7.0;5.00;20.71;1
2019-04-24T22:10:05.000;2019-04-24T23:10:05.000;7.0;5.00;20.93;1
2019-04-24T22:15:05.000;2019-04-24T23:15:05.000;7.0;5.00;20.92;1
2019-04-24T22:20:06.000;2019-04-24T23:20:06.000;6.7;5.00;20.78;1
2019-04-24T22:25:06.000;2019-04-24T23:25:06.000;6.7;5.00;21.06;1
2019-04-24T22:30:06.000;2019-04-24T23:30:06.000;6.7;5.00;20.75;1
2019-04-24T22:35:05.000;2019-04-24T23:35:05.000;6.4;5.00;20.64;1
2019-04-24T22:40:05.000;2019-04-24T23:40:05.000;6.4;5.00;20.92;1
2019-04-24T22:45:07.000;2019-04-24T23:45:07.000;6.1;5.00;21.17;1
2019-04-24T22:50:07.000;2019-04-24T23:50:07.000;6.1;5.00;20.83;1
2019-04-24T22:55:05.000;2019-04-24T23:55:05.000;6.1;5.00;20.60;1
2019-04-24T23:00:06.000;2019-04-25T00:00:06.000;5.8;5.00;20.77;1
2019-04-24T23:05:06.000;2019-04-25T00:05:06.000;5.8;5.00;20.76;1
2019-04-24T23:10:07.000;2019-04-25T00:10:07.000;5.8;5.00;20.87;1
2019-04-24T23:15:06.000;2019-04-25T00:15:06.000;5.8;5.00;21.01;1
2019-04-24T23:20:06.000;2019-04-25T00:20:06.000;5.8;5.00;20.74;1
2019-04-24T23:25:05.000;2019-04-25T00:25:05.000;5.8;5.00;20.62;1
2019-04-24T23:30:07.000;2019-04-25T00:30:07.000;5.8;5.00;20.84;1
2019-04-24T23:35:07.000;2019-04-25T00:35:07.000;5.8;5.01;20.83;1
2019-04-24T23:40:06.000;2019-04-25T00:40:06.000;5.8;5.00;21.07;1
2019-04-24T23:45:07.000;2019-04-25T00:45:07.000;5.8;5.00;21.23;1
2019-04-24T23:50:08.000;2019-04-25T00:50:08.000;5.8;5.00;21.29;1
2019-04-24T23:55:08.000;2019-04-25T00:55:08.000;5.8;5.00;21.23;1
2019-04-25T00:00:05.000;2019-04-25T01:00:05.000;5.8;5.00;20.62;1
2019-04-25T00:05:07.000;2019-04-25T01:05:07.000;5.8;5.00;20.86;1
2019-04-25T00:10:06.000;2019-04-25T01:10:06.000;6.1;5.00;21.05;1
2019-04-25T00:15:08.000;2019-04-25T01:15:08.000;6.1;5.00;21.27;1
2019-04-25T00:20:07.000;2019-04-25T01:20:07.000;5.8;5.00;21.11;1
2019-04-25T00:25:05.000;2019-04-25T01:25:05.000;5.8;5.00;20.52;1
2019-04-25T00:30:05.000;2019-04-25T01:30:05.000;6.1;5.01;20.63;1
2019-04-25T00:35:06.000;2019-04-25T01:35:06.000;6.1;5.00;20.74;1
2019-04-25T00:40:07.000;2019-04-25T01:40:07.000;6.4;5.00;21.13;1
2019-04-25T00:45:09.000;2019-04-25T01:45:09.000;6.7;5.00;21.36;1
2019-04-25T00:50:10.000;2019-04-25T01:50:10.000;6.7;5.00;21.42;1
2019-04-25T00:55:07.000;2019-04-25T01:55:07.000;6.4;5.00;21.49;1
2019-04-25T01:00:07.000;2019-04-25T02:00:07.000;6.4;5.00;21.52;1
2019-04-25T01:05:08.000;2019-04-25T02:05:08.000;6.4;5.00;21.58;1
2019-04-25T01:10:07.000;2019-04-25T02:10:07.000;6.1;5.00;21.50;1
2019-04-25T01:15:08.000;2019-04-25T02:15:08.000;6.1;5.00;21.60;1
2019-04-25T01:20:08.000;2019-04-25T02:20:08.000;6.1;5.00;21.61;1
2019-04-25T01:25:07.000;2019-04-25T02:25:07.000;5.8;5.00;21.60;1
2019-04-25T01:30:08.000;2019-04-25T02:30:08.000;5.8;5.00;21.66;1
2019-04-25T01:35:08.000;2019-04-25T02:35:08.000;5.8;5.00;21.60;1
2019-04-25T01:40:10.000;2019-04-25T02:40:10.000;6.1;5.00;21.45;1
2019-04-25T01:45:09.000;2019-04-25T02:45:09.000;5.8;5.00;21.40;1
2019-04-25T01:50:10.000;2019-04-25T02:50:10.000;5.8;5.00;21.44;1
2019-04-25T01:55:09.000;2019-04-25T02:55:09.000;5.4;5.00;21.40;1
2019-04-25T02:00:08.000;2019-04-25T03:00:08.000;4.8;5.00;21.29;1
2019-04-25T02:05:08.000;2019-04-25T03:05:08.000;4.8;5.00;21.28;1
2019-04-25T02:10:07.000;2019-04-25T03:10:07.000;4.8;5.00;21.25;1
2019-04-25T02:15:07.000;2019-04-25T03:15:07.000;4.8;5.00;21.22;1
2019-04-25T02:20:07.000;2019-04-25T03:20:07.000;4.8;5.00;21.18;1
2019-04-25T02:25:06.000;2019-04-25T03:25:06.000;4.8;5.00;21.14;1
2019-04-25T02:30:06.000;2019-04-25T03:30:06.000;4.8;5.00;21.10;1
2019-04-25T02:35:06.000;2019-04-25T03:35:06.000;4.8;5.00;20.47;1
2019-04-25T02:40:05.000;2019-04-25T03:40:05.000;5.1;5.00;20.98;1
2019-04-25T02:45:05.000;2019-04-25T03:45:05.000;5.1;5.00;20.58;1
2019-04-25T02:50:06.000;2019-04-25T03:50:06.000;5.4;5.00;20.82;1
2019-04-25T02:55:06.000;2019-04-25T03:55:06.000;5.4;5.00;20.78;1
2019-04-25T03:00:05.000;2019-04-25T04:00:05.000;5.8;5.00;19.95;1
2019-04-25T03:05:05.000;2019-04-25T04:05:05.000;5.8;5.00;20.05;1
2019-04-25T03:10:05.000;2019-04-25T04:10:05.000;6.1;5.00;20.00;1
2019-04-25T03:15:05.000;2019-04-25T04:15:05.000;6.4;5.00;19.75;1
2019-04-25T03:20:05.000;2019-04-25T04:20:05.000;6.4;5.00;19.59;1
2019-04-25T03:25:05.000;2019-04-25T04:25:05.000;6.7;5.00;19.43;1
2019-04-25T03:30:05.000;2019-04-25T04:30:05.000;7.0;5.00;20.09;1
2019-04-25T03:35:05.000;2019-04-25T04:35:05.000;7.0;5.00;20.23;1
2019-04-25T03:40:05.000;2019-04-25T04:40:05.000;7.0;5.00;20.10;1
2019-04-25T03:45:05.000;2019-04-25T04:45:05.000;6.7;5.00;19.81;1
2019-04-25T03:50:05.000;2019-04-25T04:50:05.000;6.7;5.00;19.14;1
2019-04-25T03:55:05.000;2019-04-25T04:55:05.000;6.4;5.00;19.06;1
2019-04-25T04:00:05.000;2019-04-25T05:00:05.000;6.4;5.00;18.56;1
2019-04-25T04:05:05.000;2019-04-25T05:05:05.000;6.1;5.00;17.73;1
2019-04-25T04:10:05.000;2019-04-25T05:10:05.000;5.8;5.00;17.54;1
2019-04-25T04:15:05.000;2019-04-25T05:15:05.000;5.8;5.00;16.93;1
2019-04-25T04:20:05.000;2019-04-25T05:20:05.000;5.4;5.00;16.22;1
2019-04-25T04:25:05.000;2019-04-25T05:25:05.000;5.1;5.00;15.40;1
2019-04-25T04:30:05.000;2019-04-25T05:30:05.000;5.1;5.00;14.61;1
2019-04-25T04:35:05.000;2019-04-25T05:35:05.000;5.1;5.00;13.70;1
2019-04-25T04:40:05.000;2019-04-25T05:40:05.000;5.1;5.00;12.76;1
2019-04-25T04:45:05.000;2019-04-25T05:45:05.000;4.8;5.00;11.90;1
2019-04-25T04:50:05.000;2019-04-25T05:50:05.000;4.8;5.00;10.89;1
2019-04-25T04:55:05.000;2019-04-25T05:55:05.000;5.1;5.00;10.21;1
