# Light Pollution Monitoring Data Format 1.0
# URL: http://www.darksky.org/measurements
# Number of header lines: 38
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: SQM-LU-DL-R1
# Instrument ID: USBAK06E436
# Data supplier: Derek OKeeffe C.A.C
# Location name: Ireland, Cloughleafin, Mitchelstown, Cork
# Position (lat, lon, elev(m)): 52.2533, -8.3605, 80
# Local timezone: Europe/Dublin
# Time Synchronization: 
# Moving / Stationary position: stationary
# Moving / Fixed look direction: fixed
# Number of channels: 1
# Filters per channel: HOYA CM-500
# Measurement direction per channel: 0,0
# Field of view (degrees): 20
# Number of fields per line: 5
# SQM serial number: 4475
# SQM hardware identity: AK06E436
# SQM firmware version: 4-6-61
# SQM cover offset value: -0.11
# SQM readout test ix: i,00000004,00000006,00000061,00004475
# SQM readout test rx: r, 09.43m,0000016161Hz,0000000000c,0000000.000s, 022.2C
# SQM readout test cx: c,00000019.94m,0000241.628s, 019.3C,00000008.71m, 019.9C
# DL time difference (seconds): -7
# DL retrieved at (UTC): 2019-06-01T12:59:25.860
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# UDM version: 1.0.0.205
# UDM setting: DL Retrieve All
# blank line
# UTC Date & Time, Local Date & Time, Temperature, Voltage, MSAS, Record type
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;Volts;mag/arcsec^2;Init/Subs
# END OF HEADER
2019-05-24T21:00:05.000;2019-05-24T22:00:05.000;10.9;5.00;10.48;1
2019-05-24T21:05:05.000;2019-05-24T22:05:05.000;10.6;5.00;11.12;1
2019-05-24T21:10:05.000;2019-05-24T22:10:05.000;10.3;5.00;11.65;1
2019-05-24T21:15:05.000;2019-05-24T22:15:05.000;10.3;5.00;12.38;1
2019-05-24T21:20:05.000;2019-05-24T22:20:05.000;9.9;5.00;13.15;1
2019-05-24T21:25:05.000;2019-05-24T22:25:05.000;9.9;5.00;13.89;1
2019-05-24T21:30:05.000;2019-05-24T22:30:05.000;9.9;5.00;14.51;1
2019-05-24T21:35:05.000;2019-05-24T22:35:05.000;9.9;5.00;15.04;1
2019-05-24T21:40:05.000;2019-05-24T22:40:05.000;9.9;5.00;15.82;1
2019-05-24T21:45:05.000;2019-05-24T22:45:05.000;9.9;5.00;16.34;1
2019-05-24T21:50:05.000;2019-05-24T22:50:05.000;9.9;5.00;16.86;1
2019-05-24T21:55:05.000;2019-05-24T22:55:05.000;9.9;5.00;17.16;1
2019-05-24T22:00:05.000;2019-05-24T23:00:05.000;9.9;5.00;17.62;1
2019-05-24T22:05:05.000;2019-05-24T23:05:05.000;9.9;5.00;17.94;1
2019-05-24T22:10:05.000;2019-05-24T23:10:05.000;9.9;5.00;18.12;1
2019-05-24T22:15:05.000;2019-05-24T23:15:05.000;9.9;5.00;18.48;1
2019-05-24T22:20:05.000;2019-05-24T23:20:05.000;9.9;5.01;18.87;1
2019-05-24T22:25:05.000;2019-05-24T23:25:05.000;9.9;5.00;19.28;1
2019-05-24T22:30:05.000;2019-05-24T23:30:05.000;9.9;5.00;19.39;1
2019-05-24T22:35:05.000;2019-05-24T23:35:05.000;9.9;5.00;19.76;1
2019-05-24T22:40:05.000;2019-05-24T23:40:05.000;9.9;5.00;19.99;1
2019-05-24T22:45:05.000;2019-05-24T23:45:05.000;9.9;5.00;20.46;1
2019-05-24T22:50:05.000;2019-05-24T23:50:05.000;9.9;5.00;20.39;1
2019-05-24T22:55:05.000;2019-05-24T23:55:05.000;9.6;5.00;20.31;1
2019-05-24T23:00:05.000;2019-05-25T00:00:05.000;9.6;5.00;20.15;1
2019-05-24T23:05:05.000;2019-05-25T00:05:05.000;9.6;5.00;20.20;1
2019-05-24T23:10:05.000;2019-05-25T00:10:05.000;9.6;5.00;20.39;1
2019-05-24T23:15:05.000;2019-05-25T00:15:05.000;9.6;5.00;20.49;1
2019-05-24T23:20:05.000;2019-05-25T00:20:05.000;9.6;5.00;20.32;1
2019-05-24T23:25:05.000;2019-05-25T00:25:05.000;9.6;5.00;20.53;1
2019-05-24T23:30:07.000;2019-05-25T00:30:07.000;9.9;5.00;21.00;1
2019-05-24T23:35:05.000;2019-05-25T00:35:05.000;9.6;5.00;20.83;1
2019-05-24T23:40:05.000;2019-05-25T00:40:05.000;9.6;5.00;20.50;1
2019-05-24T23:45:05.000;2019-05-25T00:45:05.000;9.6;5.00;20.54;1
2019-05-24T23:50:05.000;2019-05-25T00:50:05.000;9.6;5.00;20.54;1
2019-05-24T23:55:05.000;2019-05-25T00:55:05.000;9.6;5.00;20.41;1
2019-05-25T00:00:05.000;2019-05-25T01:00:05.000;9.6;5.00;20.25;1
2019-05-25T00:05:05.000;2019-05-25T01:05:05.000;9.6;5.00;20.45;1
2019-05-25T00:10:05.000;2019-05-25T01:10:05.000;9.6;5.00;20.55;1
2019-05-25T00:15:05.000;2019-05-25T01:15:05.000;9.6;5.00;20.53;1
2019-05-25T00:20:05.000;2019-05-25T01:20:05.000;9.6;5.00;20.46;1
2019-05-25T00:25:05.000;2019-05-25T01:25:05.000;9.6;5.00;20.33;1
2019-05-25T00:30:05.000;2019-05-25T01:30:05.000;9.6;5.00;20.45;1
2019-05-25T00:35:06.000;2019-05-25T01:35:06.000;9.6;5.00;20.89;1
2019-05-25T00:40:06.000;2019-05-25T01:40:06.000;9.6;5.00;20.67;1
2019-05-25T00:45:05.000;2019-05-25T01:45:05.000;9.6;5.00;20.78;1
2019-05-25T00:50:05.000;2019-05-25T01:50:05.000;9.6;5.01;20.72;1
2019-05-25T00:55:05.000;2019-05-25T01:55:05.000;9.6;5.00;20.73;1
2019-05-25T01:00:06.000;2019-05-25T02:00:06.000;9.9;5.00;20.55;1
2019-05-25T01:05:05.000;2019-05-25T02:05:05.000;9.9;5.00;20.44;1
2019-05-25T01:10:05.000;2019-05-25T02:10:05.000;9.9;5.00;20.49;1
2019-05-25T01:15:05.000;2019-05-25T02:15:05.000;9.9;5.00;20.36;1
2019-05-25T01:20:05.000;2019-05-25T02:20:05.000;9.9;5.00;20.25;1
2019-05-25T01:25:05.000;2019-05-25T02:25:05.000;9.9;5.00;20.23;1
2019-05-25T01:30:05.000;2019-05-25T02:30:05.000;10.3;5.00;20.30;1
2019-05-25T01:35:05.000;2019-05-25T02:35:05.000;10.3;5.00;20.33;1
2019-05-25T01:40:05.000;2019-05-25T02:40:05.000;10.3;5.00;20.25;1
2019-05-25T01:45:05.000;2019-05-25T02:45:05.000;10.3;5.00;20.27;1
2019-05-25T01:50:05.000;2019-05-25T02:50:05.000;10.3;5.00;20.31;1
2019-05-25T01:55:05.000;2019-05-25T02:55:05.000;10.3;5.00;20.30;1
