# Light Pollution Monitoring Data Format 1.0
# URL: http://www.darksky.org/measurements
# Number of header lines: 38
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: SQM-LU-DL-R1
# Instrument ID: USBAK06E436
# Data supplier: Derek OKeeffe C.A.C
# Location name: Ireland, Cloughleafin, Mitchelstown, Cork
# Position (lat, lon, elev(m)): 52.2533, -8.3605, 80
# Local timezone: Europe/Dublin
# Time Synchronization: 
# Moving / Stationary position: stationary
# Moving / Fixed look direction: fixed
# Number of channels: 1
# Filters per channel: HOYA CM-500
# Measurement direction per channel: 0,0
# Field of view (degrees): 20
# Number of fields per line: 5
# SQM serial number: 4475
# SQM hardware identity: AK06E436
# SQM firmware version: 4-6-61
# SQM cover offset value: -0.11
# SQM readout test ix: i,00000004,00000006,00000061,00004475
# SQM readout test rx: r, 09.21m,0000019818Hz,0000000000c,0000000.000s, 021.9C
# SQM readout test cx: c,00000019.94m,0000241.628s, 019.3C,00000008.71m, 019.9C
# DL time difference (seconds): -8
# DL retrieved at (UTC): 2019-06-01T12:56:10.129
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# UDM version: 1.0.0.205
# UDM setting: DL Retrieve All
# blank line
# UTC Date & Time, Local Date & Time, Temperature, Voltage, MSAS, Record type
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;Volts;mag/arcsec^2;Init/Subs
# END OF HEADER
2019-05-14T20:45:05.000;2019-05-14T21:45:05.000;9.3;5.00;10.58;1
2019-05-14T20:50:05.000;2019-05-14T21:50:05.000;9.0;5.00;11.31;1
2019-05-14T20:55:05.000;2019-05-14T21:55:05.000;8.7;5.00;12.12;1
2019-05-14T21:00:05.000;2019-05-14T22:00:05.000;8.3;5.00;12.82;1
2019-05-14T21:05:05.000;2019-05-14T22:05:05.000;8.3;5.00;13.59;1
2019-05-14T21:10:05.000;2019-05-14T22:10:05.000;8.0;5.00;14.38;1
2019-05-14T21:15:05.000;2019-05-14T22:15:05.000;8.0;5.00;15.09;1
2019-05-14T21:20:05.000;2019-05-14T22:20:05.000;7.7;5.00;15.69;1
2019-05-14T21:25:05.000;2019-05-14T22:25:05.000;7.7;5.00;16.17;1
2019-05-14T21:30:05.000;2019-05-14T22:30:05.000;7.7;5.00;16.55;1
2019-05-14T21:35:05.000;2019-05-14T22:35:05.000;7.4;5.00;16.87;1
2019-05-14T21:40:05.000;2019-05-14T22:40:05.000;7.4;5.00;17.22;1
2019-05-14T21:45:05.000;2019-05-14T22:45:05.000;7.4;5.00;17.53;1
2019-05-14T21:50:05.000;2019-05-14T22:50:05.000;7.4;5.00;17.90;1
2019-05-14T21:55:05.000;2019-05-14T22:55:05.000;7.4;5.00;18.15;1
2019-05-14T22:00:05.000;2019-05-14T23:00:05.000;7.4;5.00;18.26;1
2019-05-14T22:05:05.000;2019-05-14T23:05:05.000;7.4;5.00;18.45;1
2019-05-14T22:10:05.000;2019-05-14T23:10:05.000;7.4;5.00;18.65;1
2019-05-14T22:15:05.000;2019-05-14T23:15:05.000;7.0;5.00;18.99;1
2019-05-14T22:20:05.000;2019-05-14T23:20:05.000;7.0;5.00;19.01;1
2019-05-14T22:25:05.000;2019-05-14T23:25:05.000;6.7;5.00;19.06;1
2019-05-14T22:30:05.000;2019-05-14T23:30:05.000;6.7;5.00;19.17;1
2019-05-14T22:35:05.000;2019-05-14T23:35:05.000;6.7;5.00;19.22;1
2019-05-14T22:40:05.000;2019-05-14T23:40:05.000;6.4;5.00;19.26;1
2019-05-14T22:45:05.000;2019-05-14T23:45:05.000;6.4;5.00;19.27;1
2019-05-14T22:50:05.000;2019-05-14T23:50:05.000;6.4;5.00;19.29;1
2019-05-14T22:55:05.000;2019-05-14T23:55:05.000;6.4;5.00;19.34;1
2019-05-14T23:00:05.000;2019-05-15T00:00:05.000;6.4;5.00;19.40;1
2019-05-14T23:05:05.000;2019-05-15T00:05:05.000;6.4;5.00;19.35;1
2019-05-14T23:10:05.000;2019-05-15T00:10:05.000;6.4;5.00;19.23;1
2019-05-14T23:15:05.000;2019-05-15T00:15:05.000;6.4;5.00;19.15;1
2019-05-14T23:20:05.000;2019-05-15T00:20:05.000;6.1;5.00;19.11;1
2019-05-14T23:25:05.000;2019-05-15T00:25:05.000;6.1;5.00;19.15;1
2019-05-14T23:30:05.000;2019-05-15T00:30:05.000;6.1;5.00;19.15;1
2019-05-14T23:35:05.000;2019-05-15T00:35:05.000;6.1;5.00;19.19;1
2019-05-14T23:40:05.000;2019-05-15T00:40:05.000;6.1;5.00;19.25;1
2019-05-14T23:45:05.000;2019-05-15T00:45:05.000;5.8;5.00;19.15;1
2019-05-14T23:50:05.000;2019-05-15T00:50:05.000;5.8;5.00;18.99;1
2019-05-14T23:55:05.000;2019-05-15T00:55:05.000;5.8;5.00;18.99;1
2019-05-15T00:00:05.000;2019-05-15T01:00:05.000;6.1;5.00;18.88;1
2019-05-15T00:05:05.000;2019-05-15T01:05:05.000;6.1;5.00;18.79;1
2019-05-15T00:10:05.000;2019-05-15T01:10:05.000;6.1;5.00;18.69;1
2019-05-15T00:15:05.000;2019-05-15T01:15:05.000;6.4;5.00;18.86;1
2019-05-15T00:20:05.000;2019-05-15T01:20:05.000;6.4;5.00;19.06;1
2019-05-15T00:25:05.000;2019-05-15T01:25:05.000;6.4;5.00;19.15;1
2019-05-15T00:30:05.000;2019-05-15T01:30:05.000;6.4;5.00;19.17;1
2019-05-15T00:35:05.000;2019-05-15T01:35:05.000;6.4;5.00;18.96;1
2019-05-15T00:40:05.000;2019-05-15T01:40:05.000;6.4;5.00;18.72;1
2019-05-15T00:45:05.000;2019-05-15T01:45:05.000;6.7;5.00;18.84;1
2019-05-15T00:50:05.000;2019-05-15T01:50:05.000;6.7;5.00;19.11;1
2019-05-15T00:55:05.000;2019-05-15T01:55:05.000;6.7;5.00;19.38;1
2019-05-15T01:00:05.000;2019-05-15T02:00:05.000;6.7;5.00;19.45;1
2019-05-15T01:05:05.000;2019-05-15T02:05:05.000;6.7;5.00;19.55;1
2019-05-15T01:10:05.000;2019-05-15T02:10:05.000;6.7;5.00;19.56;1
2019-05-15T01:15:05.000;2019-05-15T02:15:05.000;7.0;5.00;19.33;1
2019-05-15T01:20:05.000;2019-05-15T02:20:05.000;7.0;5.00;18.96;1
2019-05-15T01:25:05.000;2019-05-15T02:25:05.000;7.0;5.00;19.00;1
2019-05-15T01:30:05.000;2019-05-15T02:30:05.000;7.0;5.00;19.17;1
2019-05-15T01:35:05.000;2019-05-15T02:35:05.000;7.0;5.00;19.35;1
2019-05-15T01:40:05.000;2019-05-15T02:40:05.000;7.0;5.00;19.62;1
2019-05-15T01:45:05.000;2019-05-15T02:45:05.000;6.7;5.00;19.81;1
2019-05-15T01:50:05.000;2019-05-15T02:50:05.000;6.7;5.00;19.91;1
2019-05-15T01:55:05.000;2019-05-15T02:55:05.000;6.7;5.00;19.98;1
2019-05-15T02:00:05.000;2019-05-15T03:00:05.000;7.0;5.00;19.71;1
2019-05-15T02:05:05.000;2019-05-15T03:05:05.000;7.0;5.00;19.34;1
2019-05-15T02:10:05.000;2019-05-15T03:10:05.000;7.0;5.00;19.11;1
2019-05-15T02:15:05.000;2019-05-15T03:15:05.000;7.0;5.00;19.39;1
2019-05-15T02:20:05.000;2019-05-15T03:20:05.000;7.0;5.00;19.36;1
2019-05-15T02:25:05.000;2019-05-15T03:25:05.000;7.0;5.00;19.70;1
2019-05-15T02:30:05.000;2019-05-15T03:30:05.000;7.0;5.00;19.78;1
2019-05-15T02:35:05.000;2019-05-15T03:35:05.000;7.0;5.00;19.66;1
2019-05-15T02:40:05.000;2019-05-15T03:40:05.000;6.7;5.00;19.62;1
2019-05-15T02:45:05.000;2019-05-15T03:45:05.000;6.7;5.00;19.37;1
2019-05-15T02:50:05.000;2019-05-15T03:50:05.000;6.7;5.00;19.15;1
2019-05-15T02:55:05.000;2019-05-15T03:55:05.000;6.4;5.00;19.11;1
2019-05-15T03:00:05.000;2019-05-15T04:00:05.000;6.4;5.00;18.96;1
2019-05-15T03:05:05.000;2019-05-15T04:05:05.000;6.1;5.00;18.63;1
2019-05-15T03:10:05.000;2019-05-15T04:10:05.000;6.1;5.00;18.24;1
2019-05-15T03:15:05.000;2019-05-15T04:15:05.000;6.1;5.00;17.91;1
2019-05-15T03:20:05.000;2019-05-15T04:20:05.000;5.8;5.00;17.54;1
