# Light Pollution Monitoring Data Format 1.0
# URL: http://www.darksky.org/measurements
# Number of header lines: 38
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: SQM-LU-DL-R1
# Instrument ID: USBAK06E436
# Data supplier: Derek OKeeffe C.A.C
# Location name: Ireland, Cloughleafin, Mitchelstown, Cork
# Position (lat, lon, elev(m)): 52.2533, -8.3605, 80
# Local timezone: Europe/Dublin
# Time Synchronization: 
# Moving / Stationary position: stationary
# Moving / Fixed look direction: fixed
# Number of channels: 1
# Filters per channel: HOYA CM-500
# Measurement direction per channel: 0,0
# Field of view (degrees): 20
# Number of fields per line: 5
# SQM serial number: 4475
# SQM hardware identity: AK06E436
# SQM firmware version: 4-6-61
# SQM cover offset value: -0.11
# SQM readout test ix: i,00000004,00000006,00000061,00004475
# SQM readout test rx: r, 08.78m,0000029273Hz,0000000000c,0000000.000s, 021.9C
# SQM readout test cx: c,00000019.94m,0000241.628s, 019.3C,00000008.71m, 019.9C
# DL time difference (seconds): -8
# DL retrieved at (UTC): 2019-06-01T12:50:36.156
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# UDM version: 1.0.0.205
# UDM setting: DL Retrieve All
# blank line
# UTC Date & Time, Local Date & Time, Temperature, Voltage, MSAS, Record type
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;Volts;mag/arcsec^2;Init/Subs
# END OF HEADER
2019-05-02T20:20:05.000;2019-05-02T21:20:05.000;8.0;5.00;10.13;1
2019-05-02T20:25:05.000;2019-05-02T21:25:05.000;7.7;5.00;10.91;1
2019-05-02T20:30:05.000;2019-05-02T21:30:05.000;7.7;5.00;11.67;1
2019-05-02T20:35:05.000;2019-05-02T21:35:05.000;7.4;5.00;12.49;1
2019-05-02T20:40:05.000;2019-05-02T21:40:05.000;7.0;5.00;13.33;1
2019-05-02T20:45:05.000;2019-05-02T21:45:05.000;6.7;5.00;14.21;1
2019-05-02T20:50:05.000;2019-05-02T21:50:05.000;6.4;5.00;15.06;1
2019-05-02T20:55:05.000;2019-05-02T21:55:05.000;6.4;5.00;15.84;1
2019-05-02T21:00:05.000;2019-05-02T22:00:05.000;6.1;5.00;16.52;1
2019-05-02T21:05:05.000;2019-05-02T22:05:05.000;5.8;5.00;17.10;1
2019-05-02T21:10:05.000;2019-05-02T22:10:05.000;5.8;5.00;17.64;1
2019-05-02T21:15:05.000;2019-05-02T22:15:05.000;5.4;5.00;18.16;1
2019-05-02T21:20:05.000;2019-05-02T22:20:05.000;5.4;5.00;18.67;1
2019-05-02T21:25:05.000;2019-05-02T22:25:05.000;5.1;5.00;19.14;1
2019-05-02T21:30:05.000;2019-05-02T22:30:05.000;5.1;5.00;19.59;1
2019-05-02T21:35:05.000;2019-05-02T22:35:05.000;4.8;5.00;20.00;1
2019-05-02T21:40:05.000;2019-05-02T22:40:05.000;4.8;5.00;20.37;1
2019-05-02T21:45:05.000;2019-05-02T22:45:05.000;4.5;5.00;20.68;1
2019-05-02T21:50:07.000;2019-05-02T22:50:07.000;4.5;5.00;20.94;1
2019-05-02T21:55:06.000;2019-05-02T22:55:06.000;4.1;5.00;21.15;1
2019-05-02T22:00:07.000;2019-05-02T23:00:07.000;4.1;5.00;21.30;1
2019-05-02T22:05:09.000;2019-05-02T23:05:09.000;4.1;5.00;21.41;1
2019-05-02T22:10:09.000;2019-05-02T23:10:09.000;4.1;5.00;21.49;1
2019-05-02T22:15:10.000;2019-05-02T23:15:10.000;3.8;5.00;21.50;1
2019-05-02T22:20:10.000;2019-05-02T23:20:10.000;3.8;5.00;21.57;1
2019-05-02T22:25:11.000;2019-05-02T23:25:11.000;3.8;5.00;21.59;1
2019-05-02T22:30:11.000;2019-05-02T23:30:11.000;3.8;5.00;21.60;1
2019-05-02T22:35:11.000;2019-05-02T23:35:11.000;4.1;5.00;21.62;1
2019-05-02T22:40:12.000;2019-05-02T23:40:12.000;4.1;5.00;21.64;1
2019-05-02T22:45:12.000;2019-05-02T23:45:12.000;4.1;5.00;21.66;1
2019-05-02T22:50:07.000;2019-05-02T23:50:07.000;4.1;5.00;21.67;1
2019-05-02T22:55:07.000;2019-05-02T23:55:07.000;4.1;5.00;21.68;1
2019-05-02T23:00:08.000;2019-05-03T00:00:08.000;4.1;5.00;21.69;1
2019-05-02T23:05:07.000;2019-05-03T00:05:07.000;4.1;5.00;21.68;1
2019-05-02T23:10:07.000;2019-05-03T00:10:07.000;3.8;5.00;21.69;1
2019-05-02T23:15:05.000;2019-05-03T00:15:05.000;3.8;5.00;20.13;1
2019-05-02T23:20:05.000;2019-05-03T00:20:05.000;3.8;5.00;20.25;1
2019-05-02T23:25:06.000;2019-05-03T00:25:06.000;3.8;5.00;20.53;1
2019-05-02T23:30:09.000;2019-05-03T00:30:09.000;4.1;5.00;21.47;1
2019-05-02T23:35:08.000;2019-05-03T00:35:08.000;4.1;5.00;21.69;1
2019-05-02T23:40:08.000;2019-05-03T00:40:08.000;4.5;5.00;21.70;1
2019-05-02T23:45:08.000;2019-05-03T00:45:08.000;4.5;5.00;21.70;1
