# Light Pollution Monitoring Data Format 1.0
# URL: http://www.darksky.org/measurements
# Number of header lines: 38
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: SQM-LU-DL-R1
# Instrument ID: USBAK06E436
# Data supplier: Derek OKeeffe C.A.C
# Location name: Ireland, Cloughleafin, Mitchelstown, Cork
# Position (lat, lon, elev(m)): 52.2533, -8.3605, 80
# Local timezone: Europe/Dublin
# Time Synchronization: 
# Moving / Stationary position: stationary
# Moving / Fixed look direction: fixed
# Number of channels: 1
# Filters per channel: HOYA CM-500
# Measurement direction per channel: 0,0
# Field of view (degrees): 20
# Number of fields per line: 5
# SQM serial number: 4475
# SQM hardware identity: AK06E436
# SQM firmware version: 4-6-61
# SQM cover offset value: -0.11
# SQM readout test ix: i,00000004,00000006,00000061,00004475
# SQM readout test rx: r, 09.53m,0000014616Hz,0000000000c,0000000.000s, 022.2C
# SQM readout test cx: c,00000019.94m,0000241.628s, 019.3C,00000008.71m, 019.9C
# DL time difference (seconds): -7
# DL retrieved at (UTC): 2019-06-01T12:57:38.798
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# UDM version: 1.0.0.205
# UDM setting: DL Retrieve All
# blank line
# UTC Date & Time, Local Date & Time, Temperature, Voltage, MSAS, Record type
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;Volts;mag/arcsec^2;Init/Subs
# END OF HEADER
2019-05-17T20:45:05.000;2019-05-17T21:45:05.000;9.6;5.00;10.33;1
2019-05-17T20:50:05.000;2019-05-17T21:50:05.000;9.6;5.00;11.36;1
2019-05-17T20:55:05.000;2019-05-17T21:55:05.000;9.6;5.00;11.96;1
2019-05-17T21:00:05.000;2019-05-17T22:00:05.000;9.6;5.00;13.21;1
2019-05-17T21:05:05.000;2019-05-17T22:05:05.000;9.3;5.00;12.86;1
2019-05-17T21:10:05.000;2019-05-17T22:10:05.000;9.3;5.00;13.93;1
2019-05-17T21:15:05.000;2019-05-17T22:15:05.000;9.3;5.00;14.95;1
2019-05-17T21:20:05.000;2019-05-17T22:20:05.000;9.3;5.00;15.35;1
2019-05-17T21:25:05.000;2019-05-17T22:25:05.000;9.3;5.00;16.12;1
2019-05-17T21:30:05.000;2019-05-17T22:30:05.000;9.3;5.00;16.77;1
2019-05-17T21:35:05.000;2019-05-17T22:35:05.000;9.3;5.00;17.09;1
2019-05-17T21:40:05.000;2019-05-17T22:40:05.000;9.3;5.00;17.20;1
2019-05-17T21:45:05.000;2019-05-17T22:45:05.000;9.3;5.00;17.55;1
2019-05-17T21:50:05.000;2019-05-17T22:50:05.000;9.0;5.00;17.49;1
2019-05-17T21:55:05.000;2019-05-17T22:55:05.000;9.0;5.00;17.71;1
2019-05-17T22:00:05.000;2019-05-17T23:00:05.000;9.0;5.00;17.79;1
2019-05-17T22:05:05.000;2019-05-17T23:05:05.000;9.0;5.00;17.83;1
2019-05-17T22:10:05.000;2019-05-17T23:10:05.000;9.0;5.00;17.87;1
2019-05-17T22:15:05.000;2019-05-17T23:15:05.000;9.0;5.00;17.99;1
2019-05-17T22:20:05.000;2019-05-17T23:20:05.000;9.0;5.00;18.04;1
2019-05-17T22:25:05.000;2019-05-17T23:25:05.000;9.0;5.00;17.86;1
2019-05-17T22:30:05.000;2019-05-17T23:30:05.000;9.0;5.00;17.57;1
2019-05-17T22:35:05.000;2019-05-17T23:35:05.000;9.0;5.00;17.52;1
2019-05-17T22:40:05.000;2019-05-17T23:40:05.000;9.0;5.00;17.68;1
2019-05-17T22:45:05.000;2019-05-17T23:45:05.000;8.7;5.00;17.66;1
2019-05-17T22:50:05.000;2019-05-17T23:50:05.000;8.7;5.00;17.54;1
2019-05-17T22:55:05.000;2019-05-17T23:55:05.000;8.7;5.00;17.56;1
2019-05-17T23:00:05.000;2019-05-18T00:00:05.000;8.7;5.00;17.42;1
2019-05-17T23:05:05.000;2019-05-18T00:05:05.000;8.7;5.00;17.52;1
2019-05-17T23:10:05.000;2019-05-18T00:10:05.000;8.7;5.00;17.60;1
2019-05-17T23:15:05.000;2019-05-18T00:15:05.000;8.7;5.00;17.64;1
2019-05-17T23:20:05.000;2019-05-18T00:20:05.000;8.7;5.00;17.69;1
2019-05-17T23:25:05.000;2019-05-18T00:25:05.000;8.7;5.00;18.01;1
