# Light Pollution Monitoring Data Format 1.0
# URL: http://www.darksky.org/measurements
# Number of header lines: 38
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: SQM-LU-DL-R1
# Instrument ID: USBAK06E436
# Data supplier: Derek OKeeffe C.A.C
# Location name: Ireland, Cloughleafin, Mitchelstown, Cork
# Position (lat, lon, elev(m)): 52.2533, -8.3605, 80
# Local timezone: Europe/Dublin
# Time Synchronization: 
# Moving / Stationary position: stationary
# Moving / Fixed look direction: fixed
# Number of channels: 1
# Filters per channel: HOYA CM-500
# Measurement direction per channel: 0,0
# Field of view (degrees): 20
# Number of fields per line: 5
# SQM serial number: 4475
# SQM hardware identity: AK06E436
# SQM firmware version: 4-6-61
# SQM cover offset value: -0.11
# SQM readout test ix: i,00000004,00000006,00000061,00004475
# SQM readout test rx: r, 07.60m,0000086934Hz,0000000000c,0000000.000s, 022.2C
# SQM readout test cx: c,00000019.94m,0000241.628s, 019.3C,00000008.71m, 019.9C
# DL time difference (seconds): -7
# DL retrieved at (UTC): 2019-04-28T18:37:18.952
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# UDM version: 1.0.0.205
# UDM setting: DL Retrieve All
# blank line
# UTC Date & Time, Local Date & Time, Temperature, Voltage, MSAS, Record type
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;Volts;mag/arcsec^2;Init/Subs
# END OF HEADER
2019-04-25T20:10:05.000;2019-04-25T21:10:05.000;8.3;5.00;10.34;1
2019-04-25T20:15:05.000;2019-04-25T21:15:05.000;8.0;5.00;11.20;1
2019-04-25T20:20:05.000;2019-04-25T21:20:05.000;8.0;5.00;12.07;1
2019-04-25T20:25:05.000;2019-04-25T21:25:05.000;8.0;5.00;12.94;1
2019-04-25T20:30:05.000;2019-04-25T21:30:05.000;7.7;5.00;13.74;1
2019-04-25T20:35:05.000;2019-04-25T21:35:05.000;7.7;5.00;14.57;1
2019-04-25T20:40:05.000;2019-04-25T21:40:05.000;7.7;5.00;15.35;1
2019-04-25T20:45:05.000;2019-04-25T21:45:05.000;7.7;5.00;16.19;1
2019-04-25T20:50:05.000;2019-04-25T21:50:05.000;7.4;5.00;16.86;1
2019-04-25T20:55:05.000;2019-04-25T21:55:05.000;7.4;5.00;17.54;1
2019-04-25T21:00:05.000;2019-04-25T22:00:05.000;7.0;5.00;18.09;1
2019-04-25T21:05:05.000;2019-04-25T22:05:05.000;7.0;5.00;18.61;1
2019-04-25T21:10:05.000;2019-04-25T22:10:05.000;7.0;5.00;19.05;1
2019-04-25T21:15:05.000;2019-04-25T22:15:05.000;6.7;5.00;19.41;1
2019-04-25T21:20:05.000;2019-04-25T22:20:05.000;6.7;5.00;19.70;1
2019-04-25T21:25:05.000;2019-04-25T22:25:05.000;6.7;5.00;19.90;1
2019-04-25T21:30:05.000;2019-04-25T22:30:05.000;6.7;5.00;20.04;1
2019-04-25T21:35:05.000;2019-04-25T22:35:05.000;6.7;5.00;20.16;1
2019-04-25T21:40:05.000;2019-04-25T22:40:05.000;6.7;5.00;20.26;1
2019-04-25T21:45:05.000;2019-04-25T22:45:05.000;6.7;5.00;20.40;1
2019-04-25T21:50:05.000;2019-04-25T22:50:05.000;6.7;5.00;20.34;1
2019-04-25T21:55:05.000;2019-04-25T22:55:05.000;6.7;5.00;20.25;1
2019-04-25T22:00:05.000;2019-04-25T23:00:05.000;6.7;5.00;20.27;1
2019-04-25T22:05:05.000;2019-04-25T23:05:05.000;7.0;5.00;20.24;1
2019-04-25T22:10:05.000;2019-04-25T23:10:05.000;7.0;5.00;20.23;1
2019-04-25T22:15:05.000;2019-04-25T23:15:05.000;7.0;5.00;20.30;1
2019-04-25T22:20:05.000;2019-04-25T23:20:05.000;7.0;5.00;20.23;1
2019-04-25T22:25:05.000;2019-04-25T23:25:05.000;7.0;5.00;20.33;1
2019-04-25T22:30:05.000;2019-04-25T23:30:05.000;7.0;5.00;20.39;1
2019-04-25T22:35:05.000;2019-04-25T23:35:05.000;7.0;5.00;20.32;1
2019-04-25T22:40:05.000;2019-04-25T23:40:05.000;7.0;5.00;20.48;1
2019-04-25T22:45:05.000;2019-04-25T23:45:05.000;7.0;5.00;20.33;1
2019-04-25T22:50:05.000;2019-04-25T23:50:05.000;7.4;5.00;20.47;1
2019-04-25T22:55:05.000;2019-04-25T23:55:05.000;7.4;5.00;20.20;1
2019-04-25T23:00:05.000;2019-04-26T00:00:05.000;7.4;5.00;20.28;1
2019-04-25T23:05:05.000;2019-04-26T00:05:05.000;7.4;5.00;20.21;1
2019-04-25T23:10:05.000;2019-04-26T00:10:05.000;7.4;5.00;20.44;1
2019-04-25T23:15:05.000;2019-04-26T00:15:05.000;7.4;5.00;20.29;1
2019-04-25T23:20:05.000;2019-04-26T00:20:05.000;7.4;5.00;20.20;1
2019-04-25T23:25:05.000;2019-04-26T00:25:05.000;7.4;5.01;20.23;1
2019-04-25T23:30:05.000;2019-04-26T00:30:05.000;7.4;5.00;20.18;1
2019-04-25T23:35:05.000;2019-04-26T00:35:05.000;7.4;5.00;20.21;1
