# Light Pollution Monitoring Data Format 1.0
# URL: http://www.darksky.org/measurements
# Number of header lines: 38
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: SQM-LU-DL-R1
# Instrument ID: USBAK06E436
# Data supplier: Derek OKeeffe C.A.C
# Location name: Ireland, Cloughleafin, Mitchelstown, Cork
# Position (lat, lon, elev(m)): 52.2533, -8.3605, 80
# Local timezone: Europe/Dublin
# Time Synchronization: 
# Moving / Stationary position: stationary
# Moving / Fixed look direction: fixed
# Number of channels: 1
# Filters per channel: HOYA CM-500
# Measurement direction per channel: 0,0
# Field of view (degrees): 20
# Number of fields per line: 5
# SQM serial number: 4475
# SQM hardware identity: AK06E436
# SQM firmware version: 4-6-61
# SQM cover offset value: -0.11
# SQM readout test ix: i,00000004,00000006,00000061,00004475
# SQM readout test rx: r, 09.18m,0000020477Hz,0000000000c,0000000.000s, 021.9C
# SQM readout test cx: c,00000019.94m,0000241.628s, 019.3C,00000008.71m, 019.9C
# DL time difference (seconds): -7
# DL retrieved at (UTC): 2019-06-01T12:55:53.931
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# UDM version: 1.0.0.205
# UDM setting: DL Retrieve All
# blank line
# UTC Date & Time, Local Date & Time, Temperature, Voltage, MSAS, Record type
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;Volts;mag/arcsec^2;Init/Subs
# END OF HEADER
2019-05-13T20:40:05.000;2019-05-13T21:40:05.000;7.7;5.00;10.21;1
2019-05-13T20:45:05.000;2019-05-13T21:45:05.000;7.4;5.00;10.92;1
2019-05-13T20:50:05.000;2019-05-13T21:50:05.000;7.4;5.00;11.69;1
2019-05-13T20:55:05.000;2019-05-13T21:55:05.000;7.0;5.00;12.45;1
2019-05-13T21:00:05.000;2019-05-13T22:00:05.000;6.7;5.00;13.23;1
2019-05-13T21:05:05.000;2019-05-13T22:05:05.000;6.7;5.00;14.02;1
2019-05-13T21:10:05.000;2019-05-13T22:10:05.000;6.4;5.00;14.81;1
2019-05-13T21:15:05.000;2019-05-13T22:15:05.000;6.1;5.00;15.58;1
2019-05-13T21:20:05.000;2019-05-13T22:20:05.000;6.1;5.00;16.27;1
2019-05-13T21:25:05.000;2019-05-13T22:25:05.000;6.1;5.00;16.84;1
2019-05-13T21:30:05.000;2019-05-13T22:30:05.000;6.1;5.00;17.32;1
2019-05-13T21:35:05.000;2019-05-13T22:35:05.000;6.1;5.00;17.74;1
2019-05-13T21:40:05.000;2019-05-13T22:40:05.000;6.1;5.00;18.08;1
2019-05-13T21:45:05.000;2019-05-13T22:45:05.000;6.1;5.00;18.37;1
2019-05-13T21:50:05.000;2019-05-13T22:50:05.000;6.1;5.00;18.62;1
2019-05-13T21:55:05.000;2019-05-13T22:55:05.000;6.1;5.00;18.84;1
2019-05-13T22:00:05.000;2019-05-13T23:00:05.000;5.8;5.00;19.03;1
2019-05-13T22:05:05.000;2019-05-13T23:05:05.000;5.8;5.00;19.16;1
2019-05-13T22:10:05.000;2019-05-13T23:10:05.000;5.8;5.00;19.28;1
2019-05-13T22:15:05.000;2019-05-13T23:15:05.000;5.8;5.00;19.34;1
2019-05-13T22:20:05.000;2019-05-13T23:20:05.000;5.8;5.00;19.40;1
2019-05-13T22:25:05.000;2019-05-13T23:25:05.000;5.8;5.00;19.45;1
2019-05-13T22:30:05.000;2019-05-13T23:30:05.000;5.8;5.00;19.49;1
2019-05-13T22:35:05.000;2019-05-13T23:35:05.000;5.4;5.00;19.55;1
2019-05-13T22:40:05.000;2019-05-13T23:40:05.000;5.4;5.00;19.54;1
2019-05-13T22:45:05.000;2019-05-13T23:45:05.000;5.4;5.00;19.55;1
2019-05-13T22:50:05.000;2019-05-13T23:50:05.000;5.4;5.00;19.50;1
2019-05-13T22:55:05.000;2019-05-13T23:55:05.000;5.4;5.00;19.56;1
2019-05-13T23:00:05.000;2019-05-14T00:00:05.000;5.4;5.00;19.63;1
2019-05-13T23:05:05.000;2019-05-14T00:05:05.000;5.4;5.00;19.68;1
2019-05-13T23:10:05.000;2019-05-14T00:10:05.000;5.4;5.00;19.71;1
2019-05-13T23:15:05.000;2019-05-14T00:15:05.000;5.4;5.00;19.73;1
2019-05-13T23:20:05.000;2019-05-14T00:20:05.000;5.4;5.00;19.76;1
2019-05-13T23:25:05.000;2019-05-14T00:25:05.000;5.4;5.00;19.78;1
2019-05-13T23:30:05.000;2019-05-14T00:30:05.000;5.4;5.00;19.79;1
2019-05-13T23:35:05.000;2019-05-14T00:35:05.000;5.1;5.00;19.81;1
2019-05-13T23:40:05.000;2019-05-14T00:40:05.000;5.1;5.00;19.84;1
2019-05-13T23:45:05.000;2019-05-14T00:45:05.000;4.8;5.00;19.86;1
2019-05-13T23:50:05.000;2019-05-14T00:50:05.000;4.8;5.00;19.85;1
2019-05-13T23:55:05.000;2019-05-14T00:55:05.000;4.8;5.00;19.85;1
2019-05-14T00:00:05.000;2019-05-14T01:00:05.000;4.5;5.00;19.85;1
2019-05-14T00:05:05.000;2019-05-14T01:05:05.000;4.5;5.00;19.88;1
2019-05-14T00:10:05.000;2019-05-14T01:10:05.000;4.5;5.00;19.88;1
2019-05-14T00:15:05.000;2019-05-14T01:15:05.000;4.1;5.00;19.90;1
2019-05-14T00:20:05.000;2019-05-14T01:20:05.000;4.1;5.00;19.89;1
2019-05-14T00:25:05.000;2019-05-14T01:25:05.000;4.1;5.00;19.83;1
2019-05-14T00:30:05.000;2019-05-14T01:30:05.000;3.8;5.00;19.77;1
2019-05-14T00:35:05.000;2019-05-14T01:35:05.000;3.8;5.00;19.78;1
2019-05-14T00:40:05.000;2019-05-14T01:40:05.000;3.5;5.00;19.83;1
2019-05-14T00:45:05.000;2019-05-14T01:45:05.000;3.2;5.00;19.70;1
2019-05-14T00:50:05.000;2019-05-14T01:50:05.000;3.2;5.00;19.68;1
2019-05-14T00:55:05.000;2019-05-14T01:55:05.000;3.2;5.00;19.83;1
2019-05-14T01:00:05.000;2019-05-14T02:00:05.000;3.2;5.00;19.99;1
2019-05-14T01:05:05.000;2019-05-14T02:05:05.000;3.2;5.00;20.03;1
2019-05-14T01:10:05.000;2019-05-14T02:10:05.000;2.9;5.00;20.16;1
2019-05-14T01:15:05.000;2019-05-14T02:15:05.000;2.9;5.00;20.16;1
2019-05-14T01:20:05.000;2019-05-14T02:20:05.000;2.9;5.00;19.98;1
2019-05-14T01:25:05.000;2019-05-14T02:25:05.000;3.2;5.00;19.82;1
2019-05-14T01:30:05.000;2019-05-14T02:30:05.000;3.2;5.00;19.61;1
2019-05-14T01:35:05.000;2019-05-14T02:35:05.000;3.5;5.00;19.50;1
2019-05-14T01:40:05.000;2019-05-14T02:40:05.000;3.5;5.00;19.46;1
2019-05-14T01:45:05.000;2019-05-14T02:45:05.000;3.8;5.00;19.43;1
2019-05-14T01:50:05.000;2019-05-14T02:50:05.000;3.8;5.00;19.44;1
2019-05-14T01:55:05.000;2019-05-14T02:55:05.000;3.8;5.00;19.47;1
2019-05-14T02:00:05.000;2019-05-14T03:00:05.000;4.1;5.00;19.44;1
2019-05-14T02:05:05.000;2019-05-14T03:05:05.000;4.1;5.00;19.40;1
2019-05-14T02:10:05.000;2019-05-14T03:10:05.000;4.1;5.00;19.45;1
2019-05-14T02:15:05.000;2019-05-14T03:15:05.000;4.1;5.00;19.49;1
2019-05-14T02:20:05.000;2019-05-14T03:20:05.000;4.5;5.00;19.56;1
2019-05-14T02:25:05.000;2019-05-14T03:25:05.000;4.5;5.00;19.68;1
2019-05-14T02:30:05.000;2019-05-14T03:30:05.000;4.5;5.00;19.73;1
2019-05-14T02:35:05.000;2019-05-14T03:35:05.000;4.5;5.00;19.73;1
2019-05-14T02:40:05.000;2019-05-14T03:40:05.000;4.5;5.01;19.71;1
2019-05-14T02:45:05.000;2019-05-14T03:45:05.000;4.8;5.00;19.65;1
2019-05-14T02:50:05.000;2019-05-14T03:50:05.000;4.8;5.00;19.59;1
2019-05-14T02:55:05.000;2019-05-14T03:55:05.000;4.8;5.00;19.42;1
2019-05-14T03:00:05.000;2019-05-14T04:00:05.000;5.1;5.00;19.18;1
2019-05-14T03:05:05.000;2019-05-14T04:05:05.000;5.1;5.00;18.91;1
2019-05-14T03:10:05.000;2019-05-14T04:10:05.000;5.1;5.00;18.59;1
2019-05-14T03:15:05.000;2019-05-14T04:15:05.000;5.1;5.00;18.23;1
2019-05-14T03:20:05.000;2019-05-14T04:20:05.000;5.1;5.00;17.78;1
2019-05-14T03:25:05.000;2019-05-14T04:25:05.000;5.1;5.00;17.29;1
2019-05-14T03:30:05.000;2019-05-14T04:30:05.000;5.4;5.00;16.77;1
2019-05-14T03:35:05.000;2019-05-14T04:35:05.000;5.4;5.00;16.23;1
2019-05-14T03:40:05.000;2019-05-14T04:40:05.000;5.8;5.00;15.64;1
2019-05-14T03:45:05.000;2019-05-14T04:45:05.000;5.8;5.00;14.99;1
2019-05-14T03:50:05.000;2019-05-14T04:50:05.000;6.1;5.00;14.31;1
2019-05-14T03:55:05.000;2019-05-14T04:55:05.000;6.1;5.00;13.59;1
2019-05-14T04:00:05.000;2019-05-14T05:00:05.000;6.4;5.00;12.87;1
2019-05-14T04:05:05.000;2019-05-14T05:05:05.000;6.4;5.00;12.15;1
2019-05-14T04:10:05.000;2019-05-14T05:10:05.000;6.4;5.00;11.45;1
2019-05-14T04:15:05.000;2019-05-14T05:15:05.000;6.7;5.00;10.74;1
