# Light Pollution Monitoring Data Format 1.0
# URL: http://www.darksky.org/measurements
# Number of header lines: 38
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: SQM-LU-DL-R1
# Instrument ID: USBAK06E436
# Data supplier: Derek OKeeffe C.A.C
# Location name: Ireland, Cloughleafin, Mitchelstown, Cork
# Position (lat, lon, elev(m)): 52.2533, -8.3605, 80
# Local timezone: Europe/Dublin
# Time Synchronization: 
# Moving / Stationary position: stationary
# Moving / Fixed look direction: fixed
# Number of channels: 1
# Filters per channel: HOYA CM-500
# Measurement direction per channel: 0,0
# Field of view (degrees): 20
# Number of fields per line: 5
# SQM serial number: 4475
# SQM hardware identity: AK06E436
# SQM firmware version: 4-6-61
# SQM cover offset value: -0.11
# SQM readout test ix: i,00000004,00000006,00000061,00004475
# SQM readout test rx: r, 09.10m,0000021952Hz,0000000000c,0000000.000s, 021.9C
# SQM readout test cx: c,00000019.94m,0000241.628s, 019.3C,00000008.71m, 019.9C
# DL time difference (seconds): -7
# DL retrieved at (UTC): 2019-06-01T12:53:18.650
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# UDM version: 1.0.0.205
# UDM setting: DL Retrieve All
# blank line
# UTC Date & Time, Local Date & Time, Temperature, Voltage, MSAS, Record type
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;Volts;mag/arcsec^2;Init/Subs
# END OF HEADER
2019-05-12T20:40:05.000;2019-05-12T21:40:05.000;7.4;5.00;10.38;1
2019-05-12T20:45:05.000;2019-05-12T21:45:05.000;7.0;5.00;11.12;1
2019-05-12T20:50:05.000;2019-05-12T21:50:05.000;6.7;5.00;11.90;1
2019-05-12T20:55:05.000;2019-05-12T21:55:05.000;6.4;5.00;12.70;1
2019-05-12T21:00:05.000;2019-05-12T22:00:05.000;6.4;5.00;13.50;1
2019-05-12T21:05:05.000;2019-05-12T22:05:05.000;6.1;5.00;14.34;1
2019-05-12T21:10:05.000;2019-05-12T22:10:05.000;6.1;5.00;15.16;1
2019-05-12T21:15:05.000;2019-05-12T22:15:05.000;5.8;5.00;15.89;1
2019-05-12T21:20:05.000;2019-05-12T22:20:05.000;5.8;5.00;16.46;1
2019-05-12T21:25:05.000;2019-05-12T22:25:05.000;5.8;5.00;16.95;1
2019-05-12T21:30:05.000;2019-05-12T22:30:05.000;5.8;5.00;17.50;1
2019-05-12T21:35:05.000;2019-05-12T22:35:05.000;5.4;5.00;17.90;1
2019-05-12T21:40:05.000;2019-05-12T22:40:05.000;5.4;5.00;18.20;1
2019-05-12T21:45:05.000;2019-05-12T22:45:05.000;5.4;5.00;18.35;1
2019-05-12T21:50:05.000;2019-05-12T22:50:05.000;5.4;5.00;18.64;1
2019-05-12T21:55:05.000;2019-05-12T22:55:05.000;5.4;5.00;18.88;1
2019-05-12T22:00:05.000;2019-05-12T23:00:05.000;5.1;5.00;18.99;1
2019-05-12T22:05:05.000;2019-05-12T23:05:05.000;5.1;5.00;19.08;1
2019-05-12T22:10:05.000;2019-05-12T23:10:05.000;5.1;5.00;19.19;1
2019-05-12T22:15:05.000;2019-05-12T23:15:05.000;4.8;5.00;19.18;1
2019-05-12T22:20:05.000;2019-05-12T23:20:05.000;4.8;5.00;19.14;1
2019-05-12T22:25:05.000;2019-05-12T23:25:05.000;4.8;5.00;19.30;1
2019-05-12T22:30:05.000;2019-05-12T23:30:05.000;5.1;5.00;19.56;1
2019-05-12T22:35:05.000;2019-05-12T23:35:05.000;5.1;5.00;19.65;1
2019-05-12T22:40:05.000;2019-05-12T23:40:05.000;5.4;5.00;19.80;1
2019-05-12T22:45:05.000;2019-05-12T23:45:05.000;5.4;5.00;19.77;1
2019-05-12T22:50:05.000;2019-05-12T23:50:05.000;5.4;5.00;19.90;1
2019-05-12T22:55:05.000;2019-05-12T23:55:05.000;5.4;5.00;19.88;1
2019-05-12T23:00:05.000;2019-05-13T00:00:05.000;5.1;5.00;19.89;1
2019-05-12T23:05:05.000;2019-05-13T00:05:05.000;5.1;5.00;19.75;1
2019-05-12T23:10:05.000;2019-05-13T00:10:05.000;4.8;5.00;19.55;1
2019-05-12T23:15:05.000;2019-05-13T00:15:05.000;4.8;5.00;19.41;1
2019-05-12T23:20:05.000;2019-05-13T00:20:05.000;4.8;5.00;19.28;1
2019-05-12T23:25:05.000;2019-05-13T00:25:05.000;4.8;5.00;19.24;1
2019-05-12T23:30:05.000;2019-05-13T00:30:05.000;4.8;5.00;19.44;1
2019-05-12T23:35:05.000;2019-05-13T00:35:05.000;5.1;5.00;19.72;1
2019-05-12T23:40:05.000;2019-05-13T00:40:05.000;5.1;5.00;19.83;1
2019-05-12T23:45:05.000;2019-05-13T00:45:05.000;5.4;5.00;19.87;1
2019-05-12T23:50:05.000;2019-05-13T00:50:05.000;5.4;5.00;19.85;1
2019-05-12T23:55:05.000;2019-05-13T00:55:05.000;5.8;5.00;19.85;1
2019-05-13T00:00:05.000;2019-05-13T01:00:05.000;5.8;5.00;19.85;1
2019-05-13T00:05:05.000;2019-05-13T01:05:05.000;6.1;5.00;19.85;1
2019-05-13T00:10:05.000;2019-05-13T01:10:05.000;6.1;5.00;19.87;1
2019-05-13T00:15:05.000;2019-05-13T01:15:05.000;6.1;5.00;19.85;1
2019-05-13T00:20:05.000;2019-05-13T01:20:05.000;6.4;5.00;19.85;1
2019-05-13T00:25:05.000;2019-05-13T01:25:05.000;6.4;5.00;19.90;1
2019-05-13T00:30:05.000;2019-05-13T01:30:05.000;6.4;5.00;19.86;1
2019-05-13T00:35:05.000;2019-05-13T01:35:05.000;6.4;5.00;19.81;1
2019-05-13T00:40:05.000;2019-05-13T01:40:05.000;6.4;5.00;19.90;1
2019-05-13T00:45:05.000;2019-05-13T01:45:05.000;6.4;5.00;20.02;1
2019-05-13T00:50:05.000;2019-05-13T01:50:05.000;6.4;5.00;19.99;1
2019-05-13T00:55:05.000;2019-05-13T01:55:05.000;6.4;5.00;20.05;1
2019-05-13T01:00:05.000;2019-05-13T02:00:05.000;6.4;5.00;20.16;1
2019-05-13T01:05:05.000;2019-05-13T02:05:05.000;6.4;5.00;20.26;1
2019-05-13T01:10:05.000;2019-05-13T02:10:05.000;6.4;5.00;20.19;1
2019-05-13T01:15:05.000;2019-05-13T02:15:05.000;6.4;5.00;20.18;1
2019-05-13T01:20:05.000;2019-05-13T02:20:05.000;6.4;5.00;20.23;1
2019-05-13T01:25:05.000;2019-05-13T02:25:05.000;6.4;5.00;20.27;1
2019-05-13T01:30:05.000;2019-05-13T02:30:05.000;6.4;5.00;20.12;1
2019-05-13T01:35:05.000;2019-05-13T02:35:05.000;6.1;5.00;20.35;1
2019-05-13T01:40:05.000;2019-05-13T02:40:05.000;6.1;5.00;20.48;1
2019-05-13T01:45:05.000;2019-05-13T02:45:05.000;6.1;5.00;20.51;1
2019-05-13T01:50:05.000;2019-05-13T02:50:05.000;6.1;5.00;20.64;1
2019-05-13T01:55:06.000;2019-05-13T02:55:06.000;6.1;5.00;20.77;1
2019-05-13T02:00:07.000;2019-05-13T03:00:07.000;6.1;5.00;20.86;1
2019-05-13T02:05:05.000;2019-05-13T03:05:05.000;6.1;5.00;20.92;1
2019-05-13T02:10:05.000;2019-05-13T03:10:05.000;6.1;5.00;20.96;1
2019-05-13T02:15:05.000;2019-05-13T03:15:05.000;6.1;5.00;20.97;1
2019-05-13T02:20:05.000;2019-05-13T03:20:05.000;5.8;5.00;20.99;1
2019-05-13T02:25:05.000;2019-05-13T03:25:05.000;5.8;5.00;20.98;1
2019-05-13T02:30:05.000;2019-05-13T03:30:05.000;5.8;5.00;20.94;1
2019-05-13T02:35:07.000;2019-05-13T03:35:07.000;5.8;5.00;20.87;1
2019-05-13T02:40:06.000;2019-05-13T03:40:06.000;5.8;5.00;20.77;1
2019-05-13T02:45:05.000;2019-05-13T03:45:05.000;5.8;5.00;20.62;1
2019-05-13T02:50:05.000;2019-05-13T03:50:05.000;5.8;5.00;20.46;1
2019-05-13T02:55:05.000;2019-05-13T03:55:05.000;5.8;5.00;20.20;1
2019-05-13T03:00:05.000;2019-05-13T04:00:05.000;5.8;5.00;19.87;1
2019-05-13T03:05:05.000;2019-05-13T04:05:05.000;6.1;5.00;19.49;1
2019-05-13T03:10:05.000;2019-05-13T04:10:05.000;6.1;5.00;19.12;1
2019-05-13T03:15:05.000;2019-05-13T04:15:05.000;6.1;5.00;18.70;1
2019-05-13T03:20:05.000;2019-05-13T04:20:05.000;6.1;5.00;18.21;1
2019-05-13T03:25:05.000;2019-05-13T04:25:05.000;6.4;5.00;17.71;1
2019-05-13T03:30:05.000;2019-05-13T04:30:05.000;6.4;5.00;17.18;1
2019-05-13T03:35:05.000;2019-05-13T04:35:05.000;6.4;5.00;16.62;1
2019-05-13T03:40:05.000;2019-05-13T04:40:05.000;6.4;5.00;16.02;1
2019-05-13T03:45:05.000;2019-05-13T04:45:05.000;6.4;5.00;15.28;1
2019-05-13T03:50:05.000;2019-05-13T04:50:05.000;6.4;5.00;14.48;1
2019-05-13T03:55:05.000;2019-05-13T04:55:05.000;6.7;5.00;13.71;1
2019-05-13T04:00:05.000;2019-05-13T05:00:05.000;6.7;5.00;12.95;1
2019-05-13T04:05:05.000;2019-05-13T05:05:05.000;6.7;5.00;12.21;1
2019-05-13T04:10:05.000;2019-05-13T05:10:05.000;6.7;5.00;11.46;1
2019-05-13T04:15:05.000;2019-05-13T05:15:05.000;6.7;5.00;10.74;1
2019-05-13T04:20:05.000;2019-05-13T05:20:05.000;6.7;5.00;10.02;1
