# Light Pollution Monitoring Data Format 1.0
# URL: http://www.darksky.org/measurements
# Number of header lines: 38
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: SQM-LU-DL-R1
# Instrument ID: USBAK06E436
# Data supplier: Derek OKeeffe C.A.C
# Location name: Ireland, Cloughleafin, Mitchelstown, Cork
# Position (lat, lon, elev(m)): 52.2533, -8.3605, 80
# Local timezone: Europe/Dublin
# Time Synchronization: 
# Moving / Stationary position: stationary
# Moving / Fixed look direction: fixed
# Number of channels: 1
# Filters per channel: HOYA CM-500
# Measurement direction per channel: 0,0
# Field of view (degrees): 20
# Number of fields per line: 5
# SQM serial number: 4475
# SQM hardware identity: AK06E436
# SQM firmware version: 4-6-61
# SQM cover offset value: -0.11
# SQM readout test ix: i,00000004,00000006,00000061,00004475
# SQM readout test rx: r, 09.08m,0000022187Hz,0000000000c,0000000.000s, 021.9C
# SQM readout test cx: c,00000019.94m,0000241.628s, 019.3C,00000008.71m, 019.9C
# DL time difference (seconds): -7
# DL retrieved at (UTC): 2019-06-01T12:53:03.767
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# UDM version: 1.0.0.205
# UDM setting: DL Retrieve All
# blank line
# UTC Date & Time, Local Date & Time, Temperature, Voltage, MSAS, Record type
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;Volts;mag/arcsec^2;Init/Subs
# END OF HEADER
2019-05-11T20:35:05.000;2019-05-11T21:35:05.000;7.4;5.00;10.01;1
2019-05-11T20:40:05.000;2019-05-11T21:40:05.000;6.7;5.00;10.74;1
2019-05-11T20:45:05.000;2019-05-11T21:45:05.000;6.4;5.00;11.47;1
2019-05-11T20:50:05.000;2019-05-11T21:50:05.000;6.1;5.00;12.22;1
2019-05-11T20:55:05.000;2019-05-11T21:55:05.000;5.8;5.00;12.99;1
2019-05-11T21:00:05.000;2019-05-11T22:00:05.000;5.4;5.00;13.79;1
2019-05-11T21:05:05.000;2019-05-11T22:05:05.000;5.1;5.00;14.59;1
2019-05-11T21:10:05.000;2019-05-11T22:10:05.000;4.8;5.00;15.32;1
2019-05-11T21:15:05.000;2019-05-11T22:15:05.000;4.8;5.00;16.00;1
2019-05-11T21:20:05.000;2019-05-11T22:20:05.000;4.5;5.00;16.62;1
2019-05-11T21:25:05.000;2019-05-11T22:25:05.000;4.5;5.00;17.13;1
2019-05-11T21:30:05.000;2019-05-11T22:30:05.000;4.1;5.00;17.57;1
2019-05-11T21:35:05.000;2019-05-11T22:35:05.000;4.1;5.00;18.00;1
2019-05-11T21:40:05.000;2019-05-11T22:40:05.000;3.8;5.00;18.38;1
2019-05-11T21:45:05.000;2019-05-11T22:45:05.000;3.8;5.00;18.72;1
2019-05-11T21:50:05.000;2019-05-11T22:50:05.000;3.5;5.00;19.03;1
2019-05-11T21:55:05.000;2019-05-11T22:55:05.000;3.5;5.00;19.29;1
2019-05-11T22:00:05.000;2019-05-11T23:00:05.000;3.5;5.00;19.51;1
2019-05-11T22:05:05.000;2019-05-11T23:05:05.000;3.2;5.00;19.68;1
2019-05-11T22:10:05.000;2019-05-11T23:10:05.000;3.2;5.00;19.81;1
2019-05-11T22:15:05.000;2019-05-11T23:15:05.000;3.2;5.00;19.93;1
2019-05-11T22:20:05.000;2019-05-11T23:20:05.000;2.9;5.00;20.03;1
2019-05-11T22:25:05.000;2019-05-11T23:25:05.000;2.9;5.00;20.09;1
2019-05-11T22:30:05.000;2019-05-11T23:30:05.000;2.9;5.00;20.14;1
2019-05-11T22:35:05.000;2019-05-11T23:35:05.000;2.5;5.00;20.19;1
2019-05-11T22:40:05.000;2019-05-11T23:40:05.000;2.5;5.00;20.22;1
2019-05-11T22:45:05.000;2019-05-11T23:45:05.000;2.2;5.00;20.25;1
2019-05-11T22:50:05.000;2019-05-11T23:50:05.000;2.2;5.00;20.28;1
2019-05-11T22:55:05.000;2019-05-11T23:55:05.000;1.9;5.00;20.30;1
2019-05-11T23:00:05.000;2019-05-12T00:00:05.000;1.9;5.00;20.31;1
2019-05-11T23:05:05.000;2019-05-12T00:05:05.000;1.6;5.01;20.34;1
2019-05-11T23:10:05.000;2019-05-12T00:10:05.000;1.6;5.00;20.36;1
2019-05-11T23:15:05.000;2019-05-12T00:15:05.000;1.2;5.00;20.37;1
2019-05-11T23:20:05.000;2019-05-12T00:20:05.000;1.2;5.00;20.39;1
2019-05-11T23:25:05.000;2019-05-12T00:25:05.000;1.2;5.00;20.40;1
2019-05-11T23:30:05.000;2019-05-12T00:30:05.000;0.9;5.00;20.43;1
2019-05-11T23:35:05.000;2019-05-12T00:35:05.000;0.9;5.00;20.44;1
2019-05-11T23:40:05.000;2019-05-12T00:40:05.000;0.6;5.00;20.45;1
2019-05-11T23:45:05.000;2019-05-12T00:45:05.000;0.6;5.00;20.47;1
2019-05-11T23:50:05.000;2019-05-12T00:50:05.000;0.6;5.00;20.51;1
2019-05-11T23:55:05.000;2019-05-12T00:55:05.000;0.6;5.00;20.53;1
2019-05-12T00:00:05.000;2019-05-12T01:00:05.000;0.3;5.00;20.54;1
2019-05-12T00:05:05.000;2019-05-12T01:05:05.000;0.3;5.00;20.56;1
2019-05-12T00:10:05.000;2019-05-12T01:10:05.000;0.3;5.00;20.58;1
2019-05-12T00:15:06.000;2019-05-12T01:15:06.000;0.3;5.00;20.60;1
2019-05-12T00:20:06.000;2019-05-12T01:20:06.000;0.1;5.00;20.62;1
2019-05-12T00:25:06.000;2019-05-12T01:25:06.000;0.1;5.00;20.65;1
2019-05-12T00:30:06.000;2019-05-12T01:30:06.000;0.1;5.00;20.67;1
2019-05-12T00:35:06.000;2019-05-12T01:35:06.000;0.1;5.00;20.72;1
2019-05-12T00:40:07.000;2019-05-12T01:40:07.000;-0.4;5.00;20.76;1
2019-05-12T00:45:07.000;2019-05-12T01:45:07.000;-0.4;5.00;20.78;1
2019-05-12T00:50:05.000;2019-05-12T01:50:05.000;-0.4;5.00;20.79;1
2019-05-12T00:55:05.000;2019-05-12T01:55:05.000;-0.4;5.00;20.80;1
2019-05-12T01:00:05.000;2019-05-12T02:00:05.000;-0.7;5.00;20.80;1
2019-05-12T01:05:05.000;2019-05-12T02:05:05.000;-0.7;5.00;20.85;1
2019-05-12T01:10:05.000;2019-05-12T02:10:05.000;-0.7;5.00;20.88;1
