# Light Pollution Monitoring Data Format 1.0
# URL: http://www.darksky.org/measurements
# Number of header lines: 38
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: SQM-LU-DL-R1
# Instrument ID: USBAK06E436
# Data supplier: Derek OKeeffe C.A.C
# Location name: Ireland, Cloughleafin, Mitchelstown, Cork
# Position (lat, lon, elev(m)): 52.2533, -8.3605, 80
# Local timezone: Europe/Dublin
# Time Synchronization: 
# Moving / Stationary position: stationary
# Moving / Fixed look direction: fixed
# Number of channels: 1
# Filters per channel: HOYA CM-500
# Measurement direction per channel: 0,0
# Field of view (degrees): 20
# Number of fields per line: 5
# SQM serial number: 4475
# SQM hardware identity: AK06E436
# SQM firmware version: 4-6-61
# SQM cover offset value: -0.11
# SQM readout test ix: i,00000004,00000006,00000061,00004475
# SQM readout test rx: r, 09.45m,0000015843Hz,0000000000c,0000000.000s, 022.2C
# SQM readout test cx: c,00000019.94m,0000241.628s, 019.3C,00000008.71m, 019.9C
# DL time difference (seconds): -8
# DL retrieved at (UTC): 2019-06-01T12:59:12.018
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# UDM version: 1.0.0.205
# UDM setting: DL Retrieve All
# blank line
# UTC Date & Time, Local Date & Time, Temperature, Voltage, MSAS, Record type
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;Volts;mag/arcsec^2;Init/Subs
# END OF HEADER
2019-05-23T21:00:05.000;2019-05-23T22:00:05.000;11.9;5.00;10.80;1
2019-05-23T21:05:05.000;2019-05-23T22:05:05.000;12.2;5.00;11.55;1
2019-05-23T21:10:05.000;2019-05-23T22:10:05.000;12.2;5.00;12.58;1
2019-05-23T21:15:05.000;2019-05-23T22:15:05.000;12.2;5.00;13.39;1
2019-05-23T21:20:05.000;2019-05-23T22:20:05.000;12.2;5.00;14.06;1
2019-05-23T21:25:05.000;2019-05-23T22:25:05.000;12.2;5.00;14.33;1
2019-05-23T21:30:05.000;2019-05-23T22:30:05.000;12.2;5.00;15.73;1
2019-05-23T21:35:05.000;2019-05-23T22:35:05.000;12.2;5.00;16.48;1
2019-05-23T21:40:05.000;2019-05-23T22:40:05.000;12.2;5.00;17.20;1
2019-05-23T21:45:05.000;2019-05-23T22:45:05.000;12.2;5.00;17.50;1
2019-05-23T21:50:05.000;2019-05-23T22:50:05.000;12.2;5.00;17.75;1
2019-05-23T21:55:05.000;2019-05-23T22:55:05.000;12.2;5.00;18.26;1
2019-05-23T22:00:05.000;2019-05-23T23:00:05.000;12.2;5.00;18.58;1
2019-05-23T22:05:05.000;2019-05-23T23:05:05.000;12.2;5.00;18.61;1
2019-05-23T22:10:05.000;2019-05-23T23:10:05.000;12.2;5.00;18.76;1
2019-05-23T22:15:05.000;2019-05-23T23:15:05.000;12.2;5.00;18.97;1
2019-05-23T22:20:05.000;2019-05-23T23:20:05.000;12.2;5.00;19.16;1
2019-05-23T22:25:05.000;2019-05-23T23:25:05.000;12.2;5.00;19.18;1
2019-05-23T22:30:05.000;2019-05-23T23:30:05.000;12.2;5.00;19.41;1
2019-05-23T22:35:05.000;2019-05-23T23:35:05.000;12.2;5.00;19.38;1
2019-05-23T22:40:05.000;2019-05-23T23:40:05.000;12.2;5.00;19.80;1
2019-05-23T22:45:06.000;2019-05-23T23:45:06.000;12.2;5.00;20.57;1
2019-05-23T22:50:07.000;2019-05-23T23:50:07.000;12.2;5.00;20.90;1
2019-05-23T22:55:08.000;2019-05-23T23:55:08.000;11.9;5.00;21.03;1
2019-05-23T23:00:06.000;2019-05-24T00:00:06.000;11.6;5.00;21.19;1
2019-05-23T23:05:07.000;2019-05-24T00:05:07.000;11.2;5.00;21.25;1
2019-05-23T23:10:07.000;2019-05-24T00:10:07.000;10.9;5.00;21.35;1
2019-05-23T23:15:08.000;2019-05-24T00:15:08.000;10.6;5.00;21.41;1
2019-05-23T23:20:08.000;2019-05-24T00:20:08.000;10.3;5.00;21.46;1
2019-05-23T23:25:08.000;2019-05-24T00:25:08.000;9.9;5.00;21.49;1
2019-05-23T23:30:09.000;2019-05-24T00:30:09.000;9.9;5.00;21.55;1
2019-05-23T23:35:07.000;2019-05-24T00:35:07.000;9.6;5.00;21.37;1
2019-05-23T23:40:06.000;2019-05-24T00:40:06.000;9.6;5.00;21.28;1
2019-05-23T23:45:08.000;2019-05-24T00:45:08.000;9.3;5.00;21.49;1
2019-05-23T23:50:09.000;2019-05-24T00:50:09.000;9.6;5.00;21.58;1
2019-05-23T23:55:10.000;2019-05-24T00:55:10.000;9.3;5.00;21.63;1
2019-05-24T00:00:10.000;2019-05-24T01:00:10.000;9.3;5.00;21.70;1
2019-05-24T00:05:10.000;2019-05-24T01:05:10.000;9.0;5.00;21.70;1
2019-05-24T00:10:10.000;2019-05-24T01:10:10.000;8.7;5.00;21.70;1
2019-05-24T00:15:10.000;2019-05-24T01:15:10.000;8.7;5.00;21.71;1
2019-05-24T00:20:10.000;2019-05-24T01:20:10.000;8.3;5.00;21.71;1
2019-05-24T00:25:10.000;2019-05-24T01:25:10.000;8.3;5.00;21.71;1
2019-05-24T00:30:10.000;2019-05-24T01:30:10.000;8.3;5.00;21.67;1
2019-05-24T00:35:09.000;2019-05-24T01:35:09.000;8.0;5.00;21.59;1
2019-05-24T00:40:06.000;2019-05-24T01:40:06.000;7.7;5.00;21.39;1
2019-05-24T00:45:08.000;2019-05-24T01:45:08.000;7.7;5.00;21.18;1
2019-05-24T00:50:06.000;2019-05-24T01:50:06.000;7.7;5.00;21.39;1
2019-05-24T00:55:05.000;2019-05-24T01:55:05.000;7.7;5.00;20.83;1
2019-05-24T01:00:06.000;2019-05-24T02:00:06.000;7.7;5.00;20.95;1
2019-05-24T01:05:07.000;2019-05-24T02:05:07.000;8.0;5.00;20.75;1
2019-05-24T01:10:05.000;2019-05-24T02:10:05.000;8.0;5.00;20.56;1
2019-05-24T01:15:05.000;2019-05-24T02:15:05.000;8.0;5.00;20.26;1
2019-05-24T01:20:05.000;2019-05-24T02:20:05.000;8.3;5.00;20.29;1
2019-05-24T01:25:05.000;2019-05-24T02:25:05.000;8.3;5.00;20.33;1
2019-05-24T01:30:05.000;2019-05-24T02:30:05.000;8.7;5.00;20.19;1
2019-05-24T01:35:05.000;2019-05-24T02:35:05.000;8.7;5.00;20.24;1
2019-05-24T01:40:05.000;2019-05-24T02:40:05.000;8.7;5.00;20.18;1
2019-05-24T01:45:05.000;2019-05-24T02:45:05.000;9.0;5.00;20.08;1
2019-05-24T01:50:05.000;2019-05-24T02:50:05.000;9.0;5.00;20.04;1
2019-05-24T01:55:05.000;2019-05-24T02:55:05.000;9.0;5.00;19.86;1
