# Light Pollution Monitoring Data Format 1.0
# URL: http://www.darksky.org/measurements
# Number of header lines: 38
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: SQM-LU-DL-R1
# Instrument ID: USBAK06E436
# Data supplier: Derek OKeeffe C.A.C
# Location name: Ireland, Cloughleafin, Mitchelstown, Cork
# Position (lat, lon, elev(m)): 52.2533, -8.3605, 80
# Local timezone: Europe/Dublin
# Time Synchronization: 
# Moving / Stationary position: stationary
# Moving / Fixed look direction: fixed
# Number of channels: 1
# Filters per channel: HOYA CM-500
# Measurement direction per channel: 0,0
# Field of view (degrees): 20
# Number of fields per line: 5
# SQM serial number: 4475
# SQM hardware identity: AK06E436
# SQM firmware version: 4-6-61
# SQM cover offset value: -0.11
# SQM readout test ix: i,00000004,00000006,00000061,00004475
# SQM readout test rx: r, 09.10m,0000021984Hz,0000000000c,0000000.000s, 022.2C
# SQM readout test cx: c,00000019.94m,0000241.628s, 019.3C,00000008.71m, 019.9C
# DL time difference (seconds): -7
# DL retrieved at (UTC): 2019-06-01T12:52:39.611
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# UDM version: 1.0.0.205
# UDM setting: DL Retrieve All
# blank line
# UTC Date & Time, Local Date & Time, Temperature, Voltage, MSAS, Record type
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;Volts;mag/arcsec^2;Init/Subs
# END OF HEADER
2019-05-10T20:30:05.000;2019-05-10T21:30:05.000;8.0;5.00;10.55;1
2019-05-10T20:35:05.000;2019-05-10T21:35:05.000;8.0;5.00;10.96;1
2019-05-10T20:40:05.000;2019-05-10T21:40:05.000;7.7;5.00;11.78;1
2019-05-10T20:45:05.000;2019-05-10T21:45:05.000;7.7;5.00;12.11;1
2019-05-10T20:50:05.000;2019-05-10T21:50:05.000;7.7;5.00;12.34;1
2019-05-10T20:55:05.000;2019-05-10T21:55:05.000;7.4;5.00;13.08;1
2019-05-10T21:00:05.000;2019-05-10T22:00:05.000;7.4;5.00;13.84;1
2019-05-10T21:05:05.000;2019-05-10T22:05:05.000;7.4;5.00;14.82;1
2019-05-10T21:10:05.000;2019-05-10T22:10:05.000;7.0;5.00;15.55;1
2019-05-10T21:15:05.000;2019-05-10T22:15:05.000;6.7;5.00;16.17;1
2019-05-10T21:20:05.000;2019-05-10T22:20:05.000;6.4;5.00;16.73;1
2019-05-10T21:25:05.000;2019-05-10T22:25:05.000;5.8;5.00;17.22;1
2019-05-10T21:30:05.000;2019-05-10T22:30:05.000;5.4;5.00;17.67;1
2019-05-10T21:35:05.000;2019-05-10T22:35:05.000;5.1;5.00;18.13;1
2019-05-10T21:40:05.000;2019-05-10T22:40:05.000;4.8;5.00;18.58;1
2019-05-10T21:45:05.000;2019-05-10T22:45:05.000;4.5;5.00;19.03;1
2019-05-10T21:50:05.000;2019-05-10T22:50:05.000;4.5;5.00;19.40;1
2019-05-10T21:55:05.000;2019-05-10T22:55:05.000;4.5;5.00;19.73;1
2019-05-10T22:00:05.000;2019-05-10T23:00:05.000;4.1;5.00;19.98;1
2019-05-10T22:05:05.000;2019-05-10T23:05:05.000;4.1;5.00;20.20;1
2019-05-10T22:10:05.000;2019-05-10T23:10:05.000;3.8;5.00;20.37;1
2019-05-10T22:15:06.000;2019-05-10T23:15:06.000;3.8;5.00;20.49;1
2019-05-10T22:20:05.000;2019-05-10T23:20:05.000;3.5;5.00;20.60;1
2019-05-10T22:25:05.000;2019-05-10T23:25:05.000;3.5;5.00;20.69;1
2019-05-10T22:30:05.000;2019-05-10T23:30:05.000;3.5;5.00;20.74;1
2019-05-10T22:35:06.000;2019-05-10T23:35:06.000;3.5;5.00;20.78;1
2019-05-10T22:40:06.000;2019-05-10T23:40:06.000;3.8;5.00;20.82;1
2019-05-10T22:45:06.000;2019-05-10T23:45:06.000;3.8;5.00;20.83;1
2019-05-10T22:50:06.000;2019-05-10T23:50:06.000;3.8;5.00;20.83;1
2019-05-10T22:55:07.000;2019-05-10T23:55:07.000;3.8;5.00;20.89;1
2019-05-10T23:00:07.000;2019-05-11T00:00:07.000;3.5;5.00;20.91;1
2019-05-10T23:05:07.000;2019-05-11T00:05:07.000;3.5;5.01;20.92;1
2019-05-10T23:10:07.000;2019-05-11T00:10:07.000;3.5;5.00;20.95;1
2019-05-10T23:15:07.000;2019-05-11T00:15:07.000;3.2;5.00;20.97;1
2019-05-10T23:20:07.000;2019-05-11T00:20:07.000;3.2;5.01;20.97;1
2019-05-10T23:25:07.000;2019-05-11T00:25:07.000;2.9;5.00;20.99;1
2019-05-10T23:30:07.000;2019-05-11T00:30:07.000;3.2;5.00;21.00;1
2019-05-10T23:35:07.000;2019-05-11T00:35:07.000;3.2;5.01;21.01;1
2019-05-10T23:40:08.000;2019-05-11T00:40:08.000;3.2;5.00;21.03;1
2019-05-10T23:45:08.000;2019-05-11T00:45:08.000;3.2;5.00;21.05;1
2019-05-10T23:50:08.000;2019-05-11T00:50:08.000;3.2;5.00;21.07;1
2019-05-10T23:55:08.000;2019-05-11T00:55:08.000;3.2;5.00;21.07;1
2019-05-11T00:00:05.000;2019-05-11T01:00:05.000;3.2;5.00;21.10;1
2019-05-11T00:05:08.000;2019-05-11T01:05:08.000;2.9;5.01;21.10;1
2019-05-11T00:10:08.000;2019-05-11T01:10:08.000;2.9;5.00;21.09;1
2019-05-11T00:15:05.000;2019-05-11T01:15:05.000;2.9;5.01;21.13;1
2019-05-11T00:20:06.000;2019-05-11T01:20:06.000;2.5;5.00;21.16;1
2019-05-11T00:25:06.000;2019-05-11T01:25:06.000;2.5;5.00;21.17;1
2019-05-11T00:30:06.000;2019-05-11T01:30:06.000;2.2;5.00;21.19;1
2019-05-11T00:35:06.000;2019-05-11T01:35:06.000;2.2;5.00;21.21;1
2019-05-11T00:40:06.000;2019-05-11T01:40:06.000;1.9;5.00;21.23;1
2019-05-11T00:45:06.000;2019-05-11T01:45:06.000;1.9;5.00;21.25;1
2019-05-11T00:50:06.000;2019-05-11T01:50:06.000;1.9;5.00;21.26;1
2019-05-11T00:55:06.000;2019-05-11T01:55:06.000;1.9;5.00;21.28;1
2019-05-11T01:00:07.000;2019-05-11T02:00:07.000;1.9;5.00;21.31;1
2019-05-11T01:05:07.000;2019-05-11T02:05:07.000;1.9;5.00;21.33;1
2019-05-11T01:10:07.000;2019-05-11T02:10:07.000;1.9;5.00;21.36;1
2019-05-11T01:15:07.000;2019-05-11T02:15:07.000;2.2;5.00;21.37;1
2019-05-11T01:20:08.000;2019-05-11T02:20:08.000;2.2;5.00;21.40;1
2019-05-11T01:25:08.000;2019-05-11T02:25:08.000;2.2;5.00;21.42;1
2019-05-11T01:30:08.000;2019-05-11T02:30:08.000;2.2;5.00;21.44;1
2019-05-11T01:35:08.000;2019-05-11T02:35:08.000;2.2;5.00;21.46;1
2019-05-11T01:40:08.000;2019-05-11T02:40:08.000;2.2;5.00;21.46;1
2019-05-11T01:45:09.000;2019-05-11T02:45:09.000;2.5;5.00;21.50;1
2019-05-11T01:50:09.000;2019-05-11T02:50:09.000;2.9;5.01;21.51;1
2019-05-11T01:55:09.000;2019-05-11T02:55:09.000;2.9;5.00;21.52;1
2019-05-11T02:00:09.000;2019-05-11T03:00:09.000;2.9;5.00;21.52;1
2019-05-11T02:05:09.000;2019-05-11T03:05:09.000;2.9;5.00;21.52;1
2019-05-11T02:10:09.000;2019-05-11T03:10:09.000;2.9;5.00;21.51;1
2019-05-11T02:15:09.000;2019-05-11T03:15:09.000;2.9;5.00;21.48;1
2019-05-11T02:20:09.000;2019-05-11T03:20:09.000;2.9;5.00;21.45;1
2019-05-11T02:25:08.000;2019-05-11T03:25:08.000;2.9;5.00;21.40;1
2019-05-11T02:30:07.000;2019-05-11T03:30:07.000;2.9;5.00;21.32;1
2019-05-11T02:35:06.000;2019-05-11T03:35:06.000;3.2;5.00;21.23;1
2019-05-11T02:40:05.000;2019-05-11T03:40:05.000;3.2;5.00;21.09;1
2019-05-11T02:45:07.000;2019-05-11T03:45:07.000;3.2;5.00;20.93;1
2019-05-11T02:50:05.000;2019-05-11T03:50:05.000;3.2;5.00;20.72;1
2019-05-11T02:55:05.000;2019-05-11T03:55:05.000;3.2;5.00;20.47;1
2019-05-11T03:00:05.000;2019-05-11T04:00:05.000;3.2;5.00;20.18;1
2019-05-11T03:05:05.000;2019-05-11T04:05:05.000;3.2;5.00;19.84;1
2019-05-11T03:10:05.000;2019-05-11T04:10:05.000;3.2;5.00;19.46;1
2019-05-11T03:15:05.000;2019-05-11T04:15:05.000;3.2;5.00;19.06;1
2019-05-11T03:20:05.000;2019-05-11T04:20:05.000;3.2;5.00;18.62;1
2019-05-11T03:25:05.000;2019-05-11T04:25:05.000;3.2;5.00;18.16;1
2019-05-11T03:30:05.000;2019-05-11T04:30:05.000;2.9;5.00;17.69;1
2019-05-11T03:35:05.000;2019-05-11T04:35:05.000;2.9;5.00;17.18;1
2019-05-11T03:40:05.000;2019-05-11T04:40:05.000;2.9;5.00;16.63;1
2019-05-11T03:45:05.000;2019-05-11T04:45:05.000;2.9;5.00;16.02;1
2019-05-11T03:50:05.000;2019-05-11T04:50:05.000;2.9;5.00;15.32;1
2019-05-11T03:55:05.000;2019-05-11T04:55:05.000;2.9;5.00;14.57;1
2019-05-11T04:00:05.000;2019-05-11T05:00:05.000;2.9;5.00;13.78;1
2019-05-11T04:05:05.000;2019-05-11T05:05:05.000;2.9;5.00;12.97;1
2019-05-11T04:10:05.000;2019-05-11T05:10:05.000;2.9;5.00;12.19;1
2019-05-11T04:15:05.000;2019-05-11T05:15:05.000;2.9;5.00;11.42;1
2019-05-11T04:20:05.000;2019-05-11T05:20:05.000;2.9;5.00;10.66;1
